"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.00000000000E+007, +1.26432917811E+000, +0.00000000000E+000
+6.04000000000E+007, +1.22107230055E+000, +0.00000000000E+000
+6.08000000000E+007, +1.12838409824E+000, +0.00000000000E+000
+6.12000000000E+007, +1.00174403217E+000, +0.00000000000E+000
+6.16000000000E+007, +8.38881528002E-001, +0.00000000000E+000
+6.20000000000E+007, +6.62167999518E-001, +0.00000000000E+000
+6.24000000000E+007, +4.65000724422E-001, +0.00000000000E+000
+6.28000000000E+007, +2.70445866549E-001, +0.00000000000E+000
+6.32000000000E+007, +7.13916629781E-002, +0.00000000000E+000
+6.36000000000E+007, -1.25902719990E-001, +0.00000000000E+000
+6.40000000000E+007, -3.09948090296E-001, +0.00000000000E+000
+6.44000000000E+007, -4.80212391687E-001, +0.00000000000E+000
+6.48000000000E+007, -6.36215412104E-001, +0.00000000000E+000
+6.52000000000E+007, -7.68146506603E-001, +0.00000000000E+000
+6.56000000000E+007, -8.81829132120E-001, +0.00000000000E+000
+6.60000000000E+007, -9.80311644801E-001, +0.00000000000E+000
+6.64000000000E+007, -1.04816537057E+000, +0.00000000000E+000
+6.68000000000E+007, -1.12516260758E+000, +0.00000000000E+000
+6.72000000000E+007, -1.11597640511E+000, +0.00000000000E+000
+6.76000000000E+007, -1.11984742747E+000, +0.00000000000E+000
+6.80000000000E+007, -1.09985156129E+000, +0.00000000000E+000
+6.84000000000E+007, -1.06058142741E+000, +0.00000000000E+000
+6.88000000000E+007, -9.93993028873E-001, +0.00000000000E+000
+6.92000000000E+007, -9.13756375362E-001, +0.00000000000E+000
+6.96000000000E+007, -8.03888816314E-001, +0.00000000000E+000
+7.00000000000E+007, -6.74513018195E-001, +0.00000000000E+000
+7.04000000000E+007, -5.15721948453E-001, +0.00000000000E+000
+7.08000000000E+007, -3.44819659190E-001, +0.00000000000E+000
+7.12000000000E+007, -1.51751385218E-001, +0.00000000000E+000
+7.16000000000E+007, +4.80651964311E-002, +0.00000000000E+000
+7.20000000000E+007, +2.69944033251E-001, +0.00000000000E+000
+7.24000000000E+007, +4.97951106609E-001, +0.00000000000E+000
+7.28000000000E+007, +7.37303252959E-001, +0.00000000000E+000
+7.32000000000E+007, +9.74355592065E-001, +0.00000000000E+000
+7.36000000000E+007, +1.21447985231E+000, +0.00000000000E+000
+7.40000000000E+007, +1.44967335099E+000, +0.00000000000E+000
+7.44000000000E+007, +1.66428194793E+000, +0.00000000000E+000
+7.48000000000E+007, +1.86142846731E+000, +0.00000000000E+000
+7.52000000000E+007, +2.03157579516E+000, +0.00000000000E+000
+7.56000000000E+007, +2.17167863411E+000, +0.00000000000E+000
+7.60000000000E+007, +2.27951858915E+000, +0.00000000000E+000
+7.64000000000E+007, +2.35303193664E+000, +0.00000000000E+000
+7.68000000000E+007, +2.38163068715E+000, +0.00000000000E+000
+7.72000000000E+007, +2.37300259786E+000, +0.00000000000E+000
+7.76000000000E+007, +2.33398241624E+000, +0.00000000000E+000
+7.80000000000E+007, +2.26493244310E+000, +0.00000000000E+000
+7.84000000000E+007, +2.16689642591E+000, +0.00000000000E+000
+7.88000000000E+007, +2.05732968976E+000, +0.00000000000E+000
+7.92000000000E+007, +1.92110548536E+000, +0.00000000000E+000
+7.96000000000E+007, +1.78717294872E+000, +0.00000000000E+000
+8.00000000000E+007, +1.64705162913E+000, +0.00000000000E+000
+8.04000000000E+007, +1.50878577356E+000, +0.00000000000E+000
+8.08000000000E+007, +1.38147291497E+000, +0.00000000000E+000
+8.12000000000E+007, +1.26545233271E+000, +0.00000000000E+000
+8.16000000000E+007, +1.16152274282E+000, +0.00000000000E+000
+8.20000000000E+007, +1.09381511225E+000, +0.00000000000E+000
+8.24000000000E+007, +1.04008843810E+000, +0.00000000000E+000
+8.28000000000E+007, +1.00244464359E+000, +0.00000000000E+000
+8.32000000000E+007, +9.84834065001E-001, +0.00000000000E+000
+8.36000000000E+007, +9.89813546011E-001, +0.00000000000E+000
+8.40000000000E+007, +1.02740608222E+000, +0.00000000000E+000
+8.44000000000E+007, +1.08030647498E+000, +0.00000000000E+000
+8.48000000000E+007, +1.15172031486E+000, +0.00000000000E+000
+8.52000000000E+007, +1.24864120214E+000, +0.00000000000E+000
+8.56000000000E+007, +1.36921777489E+000, +0.00000000000E+000
+8.60000000000E+007, +1.50468505024E+000, +0.00000000000E+000
+8.64000000000E+007, +1.81017463116E+000, +0.00000000000E+000
+8.68000000000E+007, +1.83386705356E+000, +0.00000000000E+000
+8.72000000000E+007, +2.01558250026E+000, +0.00000000000E+000
+8.76000000000E+007, +2.20896576997E+000, +0.00000000000E+000
+8.80000000000E+007, +2.40160120571E+000, +0.00000000000E+000
+8.84000000000E+007, +2.60034987808E+000, +0.00000000000E+000
+8.88000000000E+007, +2.79655859198E+000, +0.00000000000E+000
+8.92000000000E+007, +2.97159676169E+000, +0.00000000000E+000
+8.96000000000E+007, +3.13749350199E+000, +0.00000000000E+000
+9.00000000000E+007, +3.28651243957E+000, +0.00000000000E+000
+9.04000000000E+007, +3.41722676428E+000, +0.00000000000E+000
+9.08000000000E+007, +3.51298400456E+000, +0.00000000000E+000
+9.12000000000E+007, +3.57617164551E+000, +0.00000000000E+000
+9.16000000000E+007, +3.60842348983E+000, +0.00000000000E+000
+9.20000000000E+007, +3.59846078337E+000, +0.00000000000E+000
