"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.00000000000E+007, -3.70527725926E+001, +0.00000000000E+000
+6.04000000000E+007, -3.70255411247E+001, +0.00000000000E+000
+6.08000000000E+007, -3.69356001783E+001, +0.00000000000E+000
+6.12000000000E+007, -3.69378326779E+001, +0.00000000000E+000
+6.16000000000E+007, -3.68264586378E+001, +0.00000000000E+000
+6.20000000000E+007, -3.68514122055E+001, +0.00000000000E+000
+6.24000000000E+007, -3.66941126510E+001, +0.00000000000E+000
+6.28000000000E+007, -3.67264839221E+001, +0.00000000000E+000
+6.32000000000E+007, -3.65639078721E+001, +0.00000000000E+000
+6.36000000000E+007, -3.66438502603E+001, +0.00000000000E+000
+6.40000000000E+007, -3.65633000082E+001, +0.00000000000E+000
+6.44000000000E+007, -3.65148558639E+001, +0.00000000000E+000
+6.48000000000E+007, -3.64755437630E+001, +0.00000000000E+000
+6.52000000000E+007, -3.63860703203E+001, +0.00000000000E+000
+6.56000000000E+007, -3.63575871239E+001, +0.00000000000E+000
+6.60000000000E+007, -3.63039245868E+001, +0.00000000000E+000
+6.64000000000E+007, -3.62574577807E+001, +0.00000000000E+000
+6.68000000000E+007, -3.61543671346E+001, +0.00000000000E+000
+6.72000000000E+007, -3.61148554256E+001, +0.00000000000E+000
+6.76000000000E+007, -3.60877986537E+001, +0.00000000000E+000
+6.80000000000E+007, -3.60069467019E+001, +0.00000000000E+000
+6.84000000000E+007, -3.60494522212E+001, +0.00000000000E+000
+6.88000000000E+007, -3.58998046799E+001, +0.00000000000E+000
+6.92000000000E+007, -3.59351537337E+001, +0.00000000000E+000
+6.96000000000E+007, -3.58557446258E+001, +0.00000000000E+000
+7.00000000000E+007, -3.57290219832E+001, +0.00000000000E+000
+7.04000000000E+007, -3.57566553868E+001, +0.00000000000E+000
+7.08000000000E+007, -3.57032069204E+001, +0.00000000000E+000
+7.12000000000E+007, -3.57050254468E+001, +0.00000000000E+000
+7.16000000000E+007, -3.56610782433E+001, +0.00000000000E+000
+7.20000000000E+007, -3.55551885212E+001, +0.00000000000E+000
+7.24000000000E+007, -3.54395364370E+001, +0.00000000000E+000
+7.28000000000E+007, -3.54925512226E+001, +0.00000000000E+000
