"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.00000000000E+007, +1.81692951153E+000, +0.00000000000E+000
+6.04000000000E+007, +1.81566295910E+000, +0.00000000000E+000
+6.08000000000E+007, +1.81578509983E+000, +0.00000000000E+000
+6.12000000000E+007, +1.81449459049E+000, +0.00000000000E+000
+6.16000000000E+007, +1.81368646259E+000, +0.00000000000E+000
+6.20000000000E+007, +1.81375652925E+000, +0.00000000000E+000
+6.24000000000E+007, +1.81293152290E+000, +0.00000000000E+000
+6.28000000000E+007, +1.81309436270E+000, +0.00000000000E+000
+6.32000000000E+007, +1.81246538311E+000, +0.00000000000E+000
+6.36000000000E+007, +1.81137233450E+000, +0.00000000000E+000
+6.40000000000E+007, +1.81216481021E+000, +0.00000000000E+000
+6.44000000000E+007, +1.81123306898E+000, +0.00000000000E+000
+6.48000000000E+007, +1.81057304880E+000, +0.00000000000E+000
+6.52000000000E+007, +1.81125268921E+000, +0.00000000000E+000
+6.56000000000E+007, +1.81070778132E+000, +0.00000000000E+000
+6.60000000000E+007, +1.81017959959E+000, +0.00000000000E+000
+6.64000000000E+007, +1.81210674601E+000, +0.00000000000E+000
+6.68000000000E+007, +1.81174160755E+000, +0.00000000000E+000
+6.72000000000E+007, +1.81148411158E+000, +0.00000000000E+000
+6.76000000000E+007, +1.81275590350E+000, +0.00000000000E+000
+6.80000000000E+007, +1.81206029095E+000, +0.00000000000E+000
+6.84000000000E+007, +1.81375093676E+000, +0.00000000000E+000
+6.88000000000E+007, +1.81297940329E+000, +0.00000000000E+000
+6.92000000000E+007, +1.81259656005E+000, +0.00000000000E+000
+6.96000000000E+007, +1.81342737632E+000, +0.00000000000E+000
+7.00000000000E+007, +1.81262633509E+000, +0.00000000000E+000
+7.04000000000E+007, +1.81342682966E+000, +0.00000000000E+000
+7.08000000000E+007, +1.81601667059E+000, +0.00000000000E+000
+7.12000000000E+007, +1.81671697624E+000, +0.00000000000E+000
+7.16000000000E+007, +1.81691844838E+000, +0.00000000000E+000
+7.20000000000E+007, +1.81876762337E+000, +0.00000000000E+000
+7.24000000000E+007, +1.81893617934E+000, +0.00000000000E+000
+7.28000000000E+007, +1.81835749416E+000, +0.00000000000E+000
+7.32000000000E+007, +1.81955816547E+000, +0.00000000000E+000
+7.36000000000E+007, +1.81861724114E+000, +0.00000000000E+000
+7.40000000000E+007, +1.81739661591E+000, +0.00000000000E+000
+7.44000000000E+007, +1.81759033001E+000, +0.00000000000E+000
+7.48000000000E+007, +1.81576040128E+000, +0.00000000000E+000
+7.52000000000E+007, +1.81442134191E+000, +0.00000000000E+000
+7.56000000000E+007, +1.81308329816E+000, +0.00000000000E+000
+7.60000000000E+007, +1.81285633351E+000, +0.00000000000E+000
+7.64000000000E+007, +1.81101616865E+000, +0.00000000000E+000
+7.68000000000E+007, +1.80904732773E+000, +0.00000000000E+000
+7.72000000000E+007, +1.80870898998E+000, +0.00000000000E+000
+7.76000000000E+007, +1.80648300060E+000, +0.00000000000E+000
+7.80000000000E+007, +1.80387063111E+000, +0.00000000000E+000
+7.84000000000E+007, +1.80316568539E+000, +0.00000000000E+000
+7.88000000000E+007, +1.80052646861E+000, +0.00000000000E+000
+7.92000000000E+007, +1.79882338219E+000, +0.00000000000E+000
+7.96000000000E+007, +1.79799004607E+000, +0.00000000000E+000
+8.00000000000E+007, +1.79583697982E+000, +0.00000000000E+000
+8.04000000000E+007, +1.79537756538E+000, +0.00000000000E+000
+8.08000000000E+007, +1.79491867331E+000, +0.00000000000E+000
+8.12000000000E+007, +1.79456101785E+000, +0.00000000000E+000
+8.16000000000E+007, +1.79430679771E+000, +0.00000000000E+000
+8.20000000000E+007, +1.79228576587E+000, +0.00000000000E+000
+8.24000000000E+007, +1.79131755728E+000, +0.00000000000E+000
+8.28000000000E+007, +1.79079386251E+000, +0.00000000000E+000
+8.32000000000E+007, +1.79075587771E+000, +0.00000000000E+000
+8.36000000000E+007, +1.78978525391E+000, +0.00000000000E+000
+8.40000000000E+007, +1.78974356564E+000, +0.00000000000E+000
