"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.00000000000E+007, +5.17428977711E+000, +0.00000000000E+000
+6.04000000000E+007, +5.16736453116E+000, +0.00000000000E+000
+6.08000000000E+007, +5.16816226474E+000, +0.00000000000E+000
+6.12000000000E+007, +5.16145720474E+000, +0.00000000000E+000
+6.16000000000E+007, +5.15694671313E+000, +0.00000000000E+000
+6.20000000000E+007, +5.15673373187E+000, +0.00000000000E+000
+6.24000000000E+007, +5.15182700950E+000, +0.00000000000E+000
+6.28000000000E+007, +5.15192854400E+000, +0.00000000000E+000
+6.32000000000E+007, +5.14802222725E+000, +0.00000000000E+000
+6.36000000000E+007, +5.14377018147E+000, +0.00000000000E+000
+6.40000000000E+007, +5.14636444248E+000, +0.00000000000E+000
+6.44000000000E+007, +5.14149286847E+000, +0.00000000000E+000
+6.48000000000E+007, +5.13798267640E+000, +0.00000000000E+000
+6.52000000000E+007, +5.14124462290E+000, +0.00000000000E+000
+6.56000000000E+007, +5.13873093297E+000, +0.00000000000E+000
+6.60000000000E+007, +5.13900643030E+000, +0.00000000000E+000
+6.64000000000E+007, +5.14551813104E+000, +0.00000000000E+000
+6.68000000000E+007, +5.14219688113E+000, +0.00000000000E+000
+6.72000000000E+007, +5.14277747709E+000, +0.00000000000E+000
+6.76000000000E+007, +5.14870048569E+000, +0.00000000000E+000
+6.80000000000E+007, +5.14926884034E+000, +0.00000000000E+000
+6.84000000000E+007, +5.15429550859E+000, +0.00000000000E+000
+6.88000000000E+007, +5.15211350651E+000, +0.00000000000E+000
+6.92000000000E+007, +5.14777178479E+000, +0.00000000000E+000
+6.96000000000E+007, +5.15241757695E+000, +0.00000000000E+000
+7.00000000000E+007, +5.14983512012E+000, +0.00000000000E+000
+7.04000000000E+007, +5.15219330991E+000, +0.00000000000E+000
+7.08000000000E+007, +5.16562768327E+000, +0.00000000000E+000
+7.12000000000E+007, +5.16735130531E+000, +0.00000000000E+000
+7.16000000000E+007, +5.17098358582E+000, +0.00000000000E+000
+7.20000000000E+007, +5.17851566245E+000, +0.00000000000E+000
+7.24000000000E+007, +5.17980648180E+000, +0.00000000000E+000
+7.28000000000E+007, +5.17812092545E+000, +0.00000000000E+000
+7.32000000000E+007, +5.18243135374E+000, +0.00000000000E+000
+7.36000000000E+007, +5.17603604266E+000, +0.00000000000E+000
+7.40000000000E+007, +5.17276911102E+000, +0.00000000000E+000
+7.44000000000E+007, +5.17477281278E+000, +0.00000000000E+000
+7.48000000000E+007, +5.16748206830E+000, +0.00000000000E+000
+7.52000000000E+007, +5.16198147112E+000, +0.00000000000E+000
+7.56000000000E+007, +5.15597155688E+000, +0.00000000000E+000
+7.60000000000E+007, +5.15664740451E+000, +0.00000000000E+000
+7.64000000000E+007, +5.14702738261E+000, +0.00000000000E+000
+7.68000000000E+007, +5.13750332348E+000, +0.00000000000E+000
+7.72000000000E+007, +5.13556163192E+000, +0.00000000000E+000
+7.76000000000E+007, +5.12567355881E+000, +0.00000000000E+000
+7.80000000000E+007, +5.11292825313E+000, +0.00000000000E+000
+7.84000000000E+007, +5.10939333176E+000, +0.00000000000E+000
+7.88000000000E+007, +5.09883199670E+000, +0.00000000000E+000
+7.92000000000E+007, +5.08752353314E+000, +0.00000000000E+000
+7.96000000000E+007, +5.08794264498E+000, +0.00000000000E+000
+8.00000000000E+007, +5.07581407446E+000, +0.00000000000E+000
+8.04000000000E+007, +5.07482751388E+000, +0.00000000000E+000
+8.08000000000E+007, +5.07177924569E+000, +0.00000000000E+000
+8.12000000000E+007, +5.07148041351E+000, +0.00000000000E+000
+8.16000000000E+007, +5.06913249329E+000, +0.00000000000E+000
+8.20000000000E+007, +5.05826512405E+000, +0.00000000000E+000
+8.24000000000E+007, +5.05756570014E+000, +0.00000000000E+000
+8.28000000000E+007, +5.05236217633E+000, +0.00000000000E+000
+8.32000000000E+007, +5.05256443439E+000, +0.00000000000E+000
+8.36000000000E+007, +5.04854289524E+000, +0.00000000000E+000
+8.40000000000E+007, +5.04605687888E+000, +0.00000000000E+000
+8.44000000000E+007, +5.04476133548E+000, +0.00000000000E+000
+8.48000000000E+007, +5.04327727223E+000, +0.00000000000E+000
+8.52000000000E+007, +5.04014078830E+000, +0.00000000000E+000
+8.56000000000E+007, +5.03114893964E+000, +0.00000000000E+000
+8.60000000000E+007, +5.02892777391E+000, +0.00000000000E+000
+8.64000000000E+007, +5.02774085710E+000, +0.00000000000E+000
+8.68000000000E+007, +5.02706388322E+000, +0.00000000000E+000
+8.72000000000E+007, +5.02470675333E+000, +0.00000000000E+000
+8.76000000000E+007, +5.02044752847E+000, +0.00000000000E+000
+8.80000000000E+007, +5.01732733090E+000, +0.00000000000E+000
+8.84000000000E+007, +5.01471187060E+000, +0.00000000000E+000
+8.88000000000E+007, +5.01244380605E+000, +0.00000000000E+000
+8.92000000000E+007, +5.00298476058E+000, +0.00000000000E+000
+8.96000000000E+007, +5.00238036068E+000, +0.00000000000E+000
+9.00000000000E+007, +5.00001389926E+000, +0.00000000000E+000
+9.04000000000E+007, +4.99850374753E+000, +0.00000000000E+000
+9.08000000000E+007, +4.98714371377E+000, +0.00000000000E+000
+9.12000000000E+007, +4.99232705577E+000, +0.00000000000E+000
+9.16000000000E+007, +4.98703357906E+000, +0.00000000000E+000
+9.20000000000E+007, +4.99082487890E+000, +0.00000000000E+000
+9.24000000000E+007, +4.99340258959E+000, +0.00000000000E+000
+9.28000000000E+007, +4.99331522102E+000, +0.00000000000E+000
