"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.00000000000E+007, +1.86839757402E+000, +0.00000000000E+000
+6.04000000000E+007, +1.86535687368E+000, +0.00000000000E+000
+6.08000000000E+007, +1.86425930787E+000, +0.00000000000E+000
+6.12000000000E+007, +1.86168527651E+000, +0.00000000000E+000
+6.16000000000E+007, +1.85881472091E+000, +0.00000000000E+000
+6.20000000000E+007, +1.85834564633E+000, +0.00000000000E+000
+6.24000000000E+007, +1.85583406762E+000, +0.00000000000E+000
+6.28000000000E+007, +1.85555091687E+000, +0.00000000000E+000
+6.32000000000E+007, +1.85342669029E+000, +0.00000000000E+000
+6.36000000000E+007, +1.85135682071E+000, +0.00000000000E+000
+6.40000000000E+007, +1.85128600033E+000, +0.00000000000E+000
+6.44000000000E+007, +1.84956496966E+000, +0.00000000000E+000
+6.48000000000E+007, +1.84835413811E+000, +0.00000000000E+000
+6.52000000000E+007, +1.84887831050E+000, +0.00000000000E+000
+6.56000000000E+007, +1.84777691818E+000, +0.00000000000E+000
+6.60000000000E+007, +1.84613304374E+000, +0.00000000000E+000
+6.64000000000E+007, +1.84759484436E+000, +0.00000000000E+000
+6.68000000000E+007, +1.84702688847E+000, +0.00000000000E+000
+6.72000000000E+007, +1.84625456278E+000, +0.00000000000E+000
+6.76000000000E+007, +1.84811478251E+000, +0.00000000000E+000
+6.80000000000E+007, +1.84708575857E+000, +0.00000000000E+000
+6.84000000000E+007, +1.84785879806E+000, +0.00000000000E+000
+6.88000000000E+007, +1.84774689570E+000, +0.00000000000E+000
+6.92000000000E+007, +1.84673896514E+000, +0.00000000000E+000
+6.96000000000E+007, +1.84786440228E+000, +0.00000000000E+000
+7.00000000000E+007, +1.84718659738E+000, +0.00000000000E+000
+7.04000000000E+007, +1.84847660524E+000, +0.00000000000E+000
+7.08000000000E+007, +1.85139016295E+000, +0.00000000000E+000
+7.12000000000E+007, +1.85250730517E+000, +0.00000000000E+000
+7.16000000000E+007, +1.85312085949E+000, +0.00000000000E+000
+7.20000000000E+007, +1.85459699776E+000, +0.00000000000E+000
+7.24000000000E+007, +1.85485671262E+000, +0.00000000000E+000
+7.28000000000E+007, +1.85417459395E+000, +0.00000000000E+000
+7.32000000000E+007, +1.85515240761E+000, +0.00000000000E+000
+7.36000000000E+007, +1.85378933556E+000, +0.00000000000E+000
+7.40000000000E+007, +1.85215009927E+000, +0.00000000000E+000
+7.44000000000E+007, +1.85228772401E+000, +0.00000000000E+000
+7.48000000000E+007, +1.85032753822E+000, +0.00000000000E+000
+7.52000000000E+007, +1.84778596298E+000, +0.00000000000E+000
+7.56000000000E+007, +1.84595819739E+000, +0.00000000000E+000
+7.60000000000E+007, +1.84535561311E+000, +0.00000000000E+000
+7.64000000000E+007, +1.84278200904E+000, +0.00000000000E+000
+7.68000000000E+007, +1.83962059509E+000, +0.00000000000E+000
+7.72000000000E+007, +1.83869734132E+000, +0.00000000000E+000
+7.76000000000E+007, +1.83562387459E+000, +0.00000000000E+000
+7.80000000000E+007, +1.83198196967E+000, +0.00000000000E+000
+7.84000000000E+007, +1.83078311345E+000, +0.00000000000E+000
+7.88000000000E+007, +1.82756747906E+000, +0.00000000000E+000
+7.92000000000E+007, +1.82423680278E+000, +0.00000000000E+000
+7.96000000000E+007, +1.82320225521E+000, +0.00000000000E+000
+8.00000000000E+007, +1.82054303395E+000, +0.00000000000E+000
+8.04000000000E+007, +1.81991489122E+000, +0.00000000000E+000
+8.08000000000E+007, +1.81954796743E+000, +0.00000000000E+000
+8.12000000000E+007, +1.81928335732E+000, +0.00000000000E+000
+8.16000000000E+007, +1.81845254691E+000, +0.00000000000E+000
+8.20000000000E+007, +1.81613967827E+000, +0.00000000000E+000
+8.24000000000E+007, +1.81551123221E+000, +0.00000000000E+000
+8.28000000000E+007, +1.81522059326E+000, +0.00000000000E+000
+8.32000000000E+007, +1.81462526634E+000, +0.00000000000E+000
+8.36000000000E+007, +1.81441719137E+000, +0.00000000000E+000
+8.40000000000E+007, +1.81402870797E+000, +0.00000000000E+000
+8.44000000000E+007, +1.81382542232E+000, +0.00000000000E+000
+8.48000000000E+007, +1.81333054171E+000, +0.00000000000E+000
+8.52000000000E+007, +1.81324392624E+000, +0.00000000000E+000
+8.56000000000E+007, +1.81099354566E+000, +0.00000000000E+000
+8.60000000000E+007, +1.81091700178E+000, +0.00000000000E+000
+8.64000000000E+007, +1.81057262484E+000, +0.00000000000E+000
+8.68000000000E+007, +1.81013267887E+000, +0.00000000000E+000
+8.72000000000E+007, +1.80959560797E+000, +0.00000000000E+000
+8.76000000000E+007, +1.80917955523E+000, +0.00000000000E+000
+8.80000000000E+007, +1.80919380137E+000, +0.00000000000E+000
+8.84000000000E+007, +1.80812781808E+000, +0.00000000000E+000
+8.88000000000E+007, +1.80763665006E+000, +0.00000000000E+000
+8.92000000000E+007, +1.80461410382E+000, +0.00000000000E+000
+8.96000000000E+007, +1.80410141706E+000, +0.00000000000E+000
+9.00000000000E+007, +1.80337745636E+000, +0.00000000000E+000
+9.04000000000E+007, +1.80256280371E+000, +0.00000000000E+000
+9.08000000000E+007, +1.80022910124E+000, +0.00000000000E+000
+9.12000000000E+007, +1.80040050117E+000, +0.00000000000E+000
+9.16000000000E+007, +1.79827754112E+000, +0.00000000000E+000
+9.20000000000E+007, +1.79862104313E+000, +0.00000000000E+000
+9.24000000000E+007, +1.79820136796E+000, +0.00000000000E+000
+9.28000000000E+007, +1.79826970043E+000, +0.00000000000E+000
+9.32000000000E+007, +1.79625837984E+000, +0.00000000000E+000
+9.36000000000E+007, +1.79588206565E+000, +0.00000000000E+000
+9.40000000000E+007, +1.79535650295E+000, +0.00000000000E+000
+9.44000000000E+007, +1.79493873174E+000, +0.00000000000E+000
