"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.00000000000E+007, +5.47072010225E+000, +0.00000000000E+000
+6.04000000000E+007, +5.45535042177E+000, +0.00000000000E+000
+6.08000000000E+007, +5.45267906951E+000, +0.00000000000E+000
+6.12000000000E+007, +5.43873917543E+000, +0.00000000000E+000
+6.16000000000E+007, +5.42561182360E+000, +0.00000000000E+000
+6.20000000000E+007, +5.42098798467E+000, +0.00000000000E+000
+6.24000000000E+007, +5.41093470892E+000, +0.00000000000E+000
+6.28000000000E+007, +5.40860489232E+000, +0.00000000000E+000
+6.32000000000E+007, +5.39891487504E+000, +0.00000000000E+000
+6.36000000000E+007, +5.38879959771E+000, +0.00000000000E+000
+6.40000000000E+007, +5.39231927793E+000, +0.00000000000E+000
+6.44000000000E+007, +5.38151396214E+000, +0.00000000000E+000
+6.48000000000E+007, +5.37525564046E+000, +0.00000000000E+000
+6.52000000000E+007, +5.37919330603E+000, +0.00000000000E+000
+6.56000000000E+007, +5.36874710943E+000, +0.00000000000E+000
+6.60000000000E+007, +5.36545747082E+000, +0.00000000000E+000
+6.64000000000E+007, +5.37342882198E+000, +0.00000000000E+000
+6.68000000000E+007, +5.36984030405E+000, +0.00000000000E+000
+6.72000000000E+007, +5.36729983363E+000, +0.00000000000E+000
+6.76000000000E+007, +5.37388503389E+000, +0.00000000000E+000
+6.80000000000E+007, +5.36983195842E+000, +0.00000000000E+000
+6.84000000000E+007, +5.37623055998E+000, +0.00000000000E+000
+6.88000000000E+007, +5.37236967349E+000, +0.00000000000E+000
+6.92000000000E+007, +5.37023843057E+000, +0.00000000000E+000
+6.96000000000E+007, +5.37494119057E+000, +0.00000000000E+000
+7.00000000000E+007, +5.36987347861E+000, +0.00000000000E+000
+7.04000000000E+007, +5.37716522672E+000, +0.00000000000E+000
+7.08000000000E+007, +5.39053660986E+000, +0.00000000000E+000
+7.12000000000E+007, +5.39627209497E+000, +0.00000000000E+000
+7.16000000000E+007, +5.39954033703E+000, +0.00000000000E+000
+7.20000000000E+007, +5.40744487192E+000, +0.00000000000E+000
+7.24000000000E+007, +5.40603296857E+000, +0.00000000000E+000
+7.28000000000E+007, +5.40433849436E+000, +0.00000000000E+000
+7.32000000000E+007, +5.41078601978E+000, +0.00000000000E+000
+7.36000000000E+007, +5.40499551945E+000, +0.00000000000E+000
+7.40000000000E+007, +5.39794356852E+000, +0.00000000000E+000
+7.44000000000E+007, +5.39528655965E+000, +0.00000000000E+000
+7.48000000000E+007, +5.38615363973E+000, +0.00000000000E+000
+7.52000000000E+007, +5.37865968083E+000, +0.00000000000E+000
+7.56000000000E+007, +5.36690829567E+000, +0.00000000000E+000
+7.60000000000E+007, +5.36460144749E+000, +0.00000000000E+000
+7.64000000000E+007, +5.35225669455E+000, +0.00000000000E+000
+7.68000000000E+007, +5.33946015189E+000, +0.00000000000E+000
+7.72000000000E+007, +5.33813505315E+000, +0.00000000000E+000
+7.76000000000E+007, +5.32168191115E+000, +0.00000000000E+000
+7.80000000000E+007, +5.30687705375E+000, +0.00000000000E+000
+7.84000000000E+007, +5.29783668207E+000, +0.00000000000E+000
+7.88000000000E+007, +5.28199763610E+000, +0.00000000000E+000
+7.92000000000E+007, +5.26947418281E+000, +0.00000000000E+000
