"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.00000000000E+007, -6.81175397505E+001, +0.00000000000E+000
+6.04000000000E+007, -6.65465192616E+001, +0.00000000000E+000
+6.08000000000E+007, -6.76841268599E+001, +0.00000000000E+000
+6.12000000000E+007, -6.70240308039E+001, +0.00000000000E+000
+6.16000000000E+007, -6.86091490816E+001, +0.00000000000E+000
+6.20000000000E+007, -6.61042318671E+001, +0.00000000000E+000
+6.24000000000E+007, -6.67051129958E+001, +0.00000000000E+000
+6.28000000000E+007, -6.76892284289E+001, +0.00000000000E+000
+6.32000000000E+007, -6.58550737491E+001, +0.00000000000E+000
+6.36000000000E+007, -6.57896172046E+001, +0.00000000000E+000
+6.40000000000E+007, -6.45002842617E+001, +0.00000000000E+000
+6.44000000000E+007, -6.84818243338E+001, +0.00000000000E+000
+6.48000000000E+007, -6.87990616555E+001, +0.00000000000E+000
+6.52000000000E+007, -6.67505517689E+001, +0.00000000000E+000
+6.56000000000E+007, -6.68036868147E+001, +0.00000000000E+000
+6.60000000000E+007, -6.91471625966E+001, +0.00000000000E+000
+6.64000000000E+007, -6.87459434157E+001, +0.00000000000E+000
+6.68000000000E+007, -6.47507298514E+001, +0.00000000000E+000
+6.72000000000E+007, -6.46980153731E+001, +0.00000000000E+000
+6.76000000000E+007, -6.60656388983E+001, +0.00000000000E+000
+6.80000000000E+007, -6.50723961003E+001, +0.00000000000E+000
+6.84000000000E+007, -6.53595938826E+001, +0.00000000000E+000
+6.88000000000E+007, -6.36735477806E+001, +0.00000000000E+000
+6.92000000000E+007, -6.47973505434E+001, +0.00000000000E+000
+6.96000000000E+007, -6.46656388083E+001, +0.00000000000E+000
+7.00000000000E+007, -6.44112268872E+001, +0.00000000000E+000
+7.04000000000E+007, -6.48161428510E+001, +0.00000000000E+000
+7.08000000000E+007, -6.42035750769E+001, +0.00000000000E+000
+7.12000000000E+007, -6.43375421578E+001, +0.00000000000E+000
+7.16000000000E+007, -6.44040220263E+001, +0.00000000000E+000
+7.20000000000E+007, -6.55593277385E+001, +0.00000000000E+000
+7.24000000000E+007, -6.41024781964E+001, +0.00000000000E+000
+7.28000000000E+007, -6.50075977526E+001, +0.00000000000E+000
+7.32000000000E+007, -6.42596840287E+001, +0.00000000000E+000
+7.36000000000E+007, -6.43801905968E+001, +0.00000000000E+000
+7.40000000000E+007, -6.52293562093E+001, +0.00000000000E+000
+7.44000000000E+007, -6.59422593126E+001, +0.00000000000E+000
+7.48000000000E+007, -6.62810934248E+001, +0.00000000000E+000
+7.52000000000E+007, -6.53930602151E+001, +0.00000000000E+000
+7.56000000000E+007, -6.44192006706E+001, +0.00000000000E+000
+7.60000000000E+007, -6.46749318996E+001, +0.00000000000E+000
+7.64000000000E+007, -6.25886998452E+001, +0.00000000000E+000
+7.68000000000E+007, -6.31248207553E+001, +0.00000000000E+000
+7.72000000000E+007, -6.45440398849E+001, +0.00000000000E+000
+7.76000000000E+007, -6.25011190313E+001, +0.00000000000E+000
+7.80000000000E+007, -6.31977739105E+001, +0.00000000000E+000
+7.84000000000E+007, -6.40354412377E+001, +0.00000000000E+000
+7.88000000000E+007, -6.45239072477E+001, +0.00000000000E+000
+7.92000000000E+007, -6.17548767760E+001, +0.00000000000E+000
+7.96000000000E+007, -6.08172599754E+001, +0.00000000000E+000
+8.00000000000E+007, -6.31694415579E+001, +0.00000000000E+000
+8.04000000000E+007, -6.13792411382E+001, +0.00000000000E+000
+8.08000000000E+007, -6.29689396363E+001, +0.00000000000E+000
+8.12000000000E+007, -6.38152131611E+001, +0.00000000000E+000
+8.16000000000E+007, -6.08984361917E+001, +0.00000000000E+000
+8.20000000000E+007, -6.10770108868E+001, +0.00000000000E+000
+8.24000000000E+007, -6.25876871362E+001, +0.00000000000E+000
+8.28000000000E+007, -6.24575292540E+001, +0.00000000000E+000
+8.32000000000E+007, -6.21380222428E+001, +0.00000000000E+000
+8.36000000000E+007, -6.17846945841E+001, +0.00000000000E+000
+8.40000000000E+007, -6.18655191965E+001, +0.00000000000E+000
+8.44000000000E+007, -6.35793447918E+001, +0.00000000000E+000
+8.48000000000E+007, -6.31488751563E+001, +0.00000000000E+000
+8.52000000000E+007, -6.23254833338E+001, +0.00000000000E+000
+8.56000000000E+007, -6.21314172199E+001, +0.00000000000E+000
+8.60000000000E+007, -6.21917587341E+001, +0.00000000000E+000
+8.64000000000E+007, -6.17458591147E+001, +0.00000000000E+000
+8.68000000000E+007, -6.11230052589E+001, +0.00000000000E+000
+8.72000000000E+007, -6.22765330191E+001, +0.00000000000E+000
+8.76000000000E+007, -6.19788586990E+001, +0.00000000000E+000
+8.80000000000E+007, -6.20885542251E+001, +0.00000000000E+000
+8.84000000000E+007, -6.21597543819E+001, +0.00000000000E+000
+8.88000000000E+007, -6.19260643075E+001, +0.00000000000E+000
+8.92000000000E+007, -6.14836575015E+001, +0.00000000000E+000
+8.96000000000E+007, -6.03055738852E+001, +0.00000000000E+000
+9.00000000000E+007, -6.29751861166E+001, +0.00000000000E+000
+9.04000000000E+007, -6.18134559904E+001, +0.00000000000E+000
+9.08000000000E+007, -5.99726916678E+001, +0.00000000000E+000
+9.12000000000E+007, -6.16176135980E+001, +0.00000000000E+000
+9.16000000000E+007, -6.07707186992E+001, +0.00000000000E+000
+9.20000000000E+007, -6.13314309837E+001, +0.00000000000E+000
+9.24000000000E+007, -6.21723858898E+001, +0.00000000000E+000
+9.28000000000E+007, -6.14453481106E+001, +0.00000000000E+000
+9.32000000000E+007, -6.05070844002E+001, +0.00000000000E+000
+9.36000000000E+007, -6.08477048296E+001, +0.00000000000E+000
+9.40000000000E+007, -5.99866635021E+001, +0.00000000000E+000
+9.44000000000E+007, -6.09710149073E+001, +0.00000000000E+000
+9.48000000000E+007, -6.06538721140E+001, +0.00000000000E+000
+9.52000000000E+007, -6.01490744853E+001, +0.00000000000E+000
+9.56000000000E+007, -5.93956804280E+001, +0.00000000000E+000
+9.60000000000E+007, -6.03428118361E+001, +0.00000000000E+000
+9.64000000000E+007, -6.07780472482E+001, +0.00000000000E+000
+9.68000000000E+007, -6.07593900212E+001, +0.00000000000E+000
+9.72000000000E+007, -5.96145289669E+001, +0.00000000000E+000
+9.76000000000E+007, -6.10802462544E+001, +0.00000000000E+000
+9.80000000000E+007, -6.15916666893E+001, +0.00000000000E+000
+9.84000000000E+007, -6.02640829091E+001, +0.00000000000E+000
+9.88000000000E+007, -6.07151444624E+001, +0.00000000000E+000
+9.92000000000E+007, -5.84337548878E+001, +0.00000000000E+000
+9.96000000000E+007, -6.05369717952E+001, +0.00000000000E+000
+1.00000000000E+008, -5.98889538876E+001, +0.00000000000E+000
+1.00400000000E+008, -6.04523168868E+001, +0.00000000000E+000
+1.00800000000E+008, -6.13791529525E+001, +0.00000000000E+000
+1.01200000000E+008, -6.04227178298E+001, +0.00000000000E+000
+1.01600000000E+008, -5.91379184748E+001, +0.00000000000E+000
+1.02000000000E+008, -5.96228175158E+001, +0.00000000000E+000
+1.02400000000E+008, -5.97571300015E+001, +0.00000000000E+000
+1.02800000000E+008, -5.99613641945E+001, +0.00000000000E+000
+1.03200000000E+008, -5.84003190865E+001, +0.00000000000E+000
+1.03600000000E+008, -5.83763338120E+001, +0.00000000000E+000
+1.04000000000E+008, -5.88422355180E+001, +0.00000000000E+000
+1.04400000000E+008, -5.89644345824E+001, +0.00000000000E+000
+1.04800000000E+008, -5.89066909966E+001, +0.00000000000E+000
+1.05200000000E+008, -5.90651836870E+001, +0.00000000000E+000
+1.05600000000E+008, -5.85716443044E+001, +0.00000000000E+000
+1.06000000000E+008, -5.84322924930E+001, +0.00000000000E+000
+1.06400000000E+008, -5.85254174857E+001, +0.00000000000E+000
+1.06800000000E+008, -5.88203602808E+001, +0.00000000000E+000
+1.07200000000E+008, -5.85774601549E+001, +0.00000000000E+000
+1.07600000000E+008, -5.81738304724E+001, +0.00000000000E+000
+1.08000000000E+008, -5.85516591647E+001, +0.00000000000E+000
+1.08400000000E+008, -5.94777171528E+001, +0.00000000000E+000
+1.08800000000E+008, -5.87951270548E+001, +0.00000000000E+000
+1.09200000000E+008, -5.87063518300E+001, +0.00000000000E+000
+1.09600000000E+008, -5.81230541271E+001, +0.00000000000E+000
+1.10000000000E+008, -5.81027879650E+001, +0.00000000000E+000
+1.10400000000E+008, -5.85334868824E+001, +0.00000000000E+000
+1.10800000000E+008, -5.80040912711E+001, +0.00000000000E+000
+1.11200000000E+008, -5.80559068045E+001, +0.00000000000E+000
+1.11600000000E+008, -5.87608129977E+001, +0.00000000000E+000
+1.12000000000E+008, -5.88544976092E+001, +0.00000000000E+000
+1.12400000000E+008, -5.84786557318E+001, +0.00000000000E+000
+1.12800000000E+008, -5.75205276137E+001, +0.00000000000E+000
+1.13200000000E+008, -5.74358574014E+001, +0.00000000000E+000
+1.13600000000E+008, -5.82109136212E+001, +0.00000000000E+000
+1.14000000000E+008, -5.78211313674E+001, +0.00000000000E+000
+1.14400000000E+008, -5.80072667320E+001, +0.00000000000E+000
+1.14800000000E+008, -5.73736561126E+001, +0.00000000000E+000
+1.15200000000E+008, -5.72668370383E+001, +0.00000000000E+000
+1.15600000000E+008, -5.69051974882E+001, +0.00000000000E+000
+1.16000000000E+008, -5.76722403310E+001, +0.00000000000E+000
+1.16400000000E+008, -5.71243322328E+001, +0.00000000000E+000
+1.16800000000E+008, -5.79817689850E+001, +0.00000000000E+000
+1.17200000000E+008, -5.78240042462E+001, +0.00000000000E+000
+1.17600000000E+008, -5.81177701045E+001, +0.00000000000E+000
+1.18000000000E+008, -5.72980261402E+001, +0.00000000000E+000
+1.18400000000E+008, -5.74069320630E+001, +0.00000000000E+000
+1.18800000000E+008, -5.68201770545E+001, +0.00000000000E+000
+1.19200000000E+008, -5.73134137871E+001, +0.00000000000E+000
+1.19600000000E+008, -5.85144786011E+001, +0.00000000000E+000
+1.20000000000E+008, -5.65138953689E+001, +0.00000000000E+000
+1.20400000000E+008, -5.76165764500E+001, +0.00000000000E+000
+1.20800000000E+008, -5.69845618476E+001, +0.00000000000E+000
+1.21200000000E+008, -5.66035103470E+001, +0.00000000000E+000
+1.21600000000E+008, -5.71800985567E+001, +0.00000000000E+000
+1.22000000000E+008, -5.63397590468E+001, +0.00000000000E+000
+1.22400000000E+008, -5.72176533354E+001, +0.00000000000E+000
+1.22800000000E+008, -5.72612162875E+001, +0.00000000000E+000
+1.23200000000E+008, -5.70200194305E+001, +0.00000000000E+000
+1.23600000000E+008, -5.71690096633E+001, +0.00000000000E+000
+1.24000000000E+008, -5.65431345181E+001, +0.00000000000E+000
+1.24400000000E+008, -5.69102039015E+001, +0.00000000000E+000
+1.24800000000E+008, -5.68860237821E+001, +0.00000000000E+000
+1.25200000000E+008, -5.77168273699E+001, +0.00000000000E+000
+1.25600000000E+008, -5.59139019024E+001, +0.00000000000E+000
+1.26000000000E+008, -5.55029989807E+001, +0.00000000000E+000
+1.26400000000E+008, -5.65051924550E+001, +0.00000000000E+000
+1.26800000000E+008, -5.62223223765E+001, +0.00000000000E+000
+1.27200000000E+008, -5.67302550940E+001, +0.00000000000E+000
+1.27600000000E+008, -5.60831976194E+001, +0.00000000000E+000
+1.28000000000E+008, -5.69434244347E+001, +0.00000000000E+000
+1.28400000000E+008, -5.62053470025E+001, +0.00000000000E+000
+1.28800000000E+008, -5.55354068945E+001, +0.00000000000E+000
+1.29200000000E+008, -5.61105365484E+001, +0.00000000000E+000
+1.29600000000E+008, -5.56249418687E+001, +0.00000000000E+000
+1.30000000000E+008, -5.60932396070E+001, +0.00000000000E+000
+1.30400000000E+008, -5.56311060174E+001, +0.00000000000E+000
+1.30800000000E+008, -5.60792524260E+001, +0.00000000000E+000
+1.31200000000E+008, -5.59640794496E+001, +0.00000000000E+000
+1.31600000000E+008, -5.52634979826E+001, +0.00000000000E+000
+1.32000000000E+008, -5.52889371681E+001, +0.00000000000E+000
+1.32400000000E+008, -5.57451801255E+001, +0.00000000000E+000
+1.32800000000E+008, -5.54532317242E+001, +0.00000000000E+000
+1.33200000000E+008, -5.50078192476E+001, +0.00000000000E+000
+1.33600000000E+008, -5.48834026455E+001, +0.00000000000E+000
+1.34000000000E+008, -5.54166073393E+001, +0.00000000000E+000
+1.34400000000E+008, -5.58678235539E+001, +0.00000000000E+000
+1.34800000000E+008, -5.52689848342E+001, +0.00000000000E+000
+1.35200000000E+008, -5.47013620507E+001, +0.00000000000E+000
+1.35600000000E+008, -5.54762709867E+001, +0.00000000000E+000
+1.36000000000E+008, -5.52040821223E+001, +0.00000000000E+000
+1.36400000000E+008, -5.45577266074E+001, +0.00000000000E+000
+1.36800000000E+008, -5.46551814954E+001, +0.00000000000E+000
+1.37200000000E+008, -5.43289522986E+001, +0.00000000000E+000
+1.37600000000E+008, -5.46256136053E+001, +0.00000000000E+000
+1.38000000000E+008, -5.53372462746E+001, +0.00000000000E+000
+1.38400000000E+008, -5.48620217392E+001, +0.00000000000E+000
+1.38800000000E+008, -5.45659848074E+001, +0.00000000000E+000
+1.39200000000E+008, -5.48082602758E+001, +0.00000000000E+000
+1.39600000000E+008, -5.43669335477E+001, +0.00000000000E+000
+1.40000000000E+008, -5.48178324707E+001, +0.00000000000E+000
