"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.00000000000E+007, +1.15867284455E+000, +0.00000000000E+000
+6.04000000000E+007, +1.22217124194E+000, +0.00000000000E+000
+6.08000000000E+007, +1.22244661669E+000, +0.00000000000E+000
+6.12000000000E+007, +1.14968627075E+000, +0.00000000000E+000
+6.16000000000E+007, +1.00276897060E+000, +0.00000000000E+000
+6.20000000000E+007, +8.14982718393E-001, +0.00000000000E+000
+6.24000000000E+007, +5.88854859448E-001, +0.00000000000E+000
+6.28000000000E+007, +3.66564536049E-001, +0.00000000000E+000
+6.32000000000E+007, +1.49788288614E-001, +0.00000000000E+000
+6.36000000000E+007, -5.58704285855E-002, +0.00000000000E+000
+6.40000000000E+007, -2.46984321251E-001, +0.00000000000E+000
+6.44000000000E+007, -4.27731252638E-001, +0.00000000000E+000
+6.48000000000E+007, -5.79859474785E-001, +0.00000000000E+000
+6.52000000000E+007, -7.20594092752E-001, +0.00000000000E+000
+6.56000000000E+007, -8.32995005646E-001, +0.00000000000E+000
+6.60000000000E+007, -9.25170880931E-001, +0.00000000000E+000
+6.64000000000E+007, -9.95237474413E-001, +0.00000000000E+000
+6.68000000000E+007, -1.03972287588E+000, +0.00000000000E+000
+6.72000000000E+007, -1.06223540709E+000, +0.00000000000E+000
+6.76000000000E+007, -1.06378165217E+000, +0.00000000000E+000
+6.80000000000E+007, -1.04061803558E+000, +0.00000000000E+000
+6.84000000000E+007, -1.00016936514E+000, +0.00000000000E+000
+6.88000000000E+007, -9.28519895709E-001, +0.00000000000E+000
+6.92000000000E+007, -8.39193703327E-001, +0.00000000000E+000
+6.96000000000E+007, -7.29692558699E-001, +0.00000000000E+000
+7.00000000000E+007, -5.97348396644E-001, +0.00000000000E+000
+7.04000000000E+007, -4.38320671795E-001, +0.00000000000E+000
+7.08000000000E+007, -2.63207936172E-001, +0.00000000000E+000
+7.12000000000E+007, -6.47865899910E-002, +0.00000000000E+000
+7.16000000000E+007, +1.50008470318E-001, +0.00000000000E+000
+7.20000000000E+007, +3.81788647899E-001, +0.00000000000E+000
+7.24000000000E+007, +6.26840327947E-001, +0.00000000000E+000
+7.28000000000E+007, +8.83334284845E-001, +0.00000000000E+000
+7.32000000000E+007, +1.13770672252E+000, +0.00000000000E+000
+7.36000000000E+007, +1.39301686692E+000, +0.00000000000E+000
+7.40000000000E+007, +1.64288815388E+000, +0.00000000000E+000
+7.44000000000E+007, +1.88076629371E+000, +0.00000000000E+000
+7.48000000000E+007, +2.08537405789E+000, +0.00000000000E+000
+7.52000000000E+007, +2.25917592290E+000, +0.00000000000E+000
+7.56000000000E+007, +2.40397710255E+000, +0.00000000000E+000
+7.60000000000E+007, +2.50549107850E+000, +0.00000000000E+000
+7.64000000000E+007, +2.57599307537E+000, +0.00000000000E+000
+7.68000000000E+007, +2.60250224233E+000, +0.00000000000E+000
+7.72000000000E+007, +2.58707139621E+000, +0.00000000000E+000
+7.76000000000E+007, +2.52268207896E+000, +0.00000000000E+000
+7.80000000000E+007, +2.42581138670E+000, +0.00000000000E+000
+7.84000000000E+007, +2.30407008449E+000, +0.00000000000E+000
+7.88000000000E+007, +2.17099141795E+000, +0.00000000000E+000
+7.92000000000E+007, +2.02925746615E+000, +0.00000000000E+000
+7.96000000000E+007, +1.87347820403E+000, +0.00000000000E+000
+8.00000000000E+007, +1.72507561741E+000, +0.00000000000E+000
+8.04000000000E+007, +1.58718465416E+000, +0.00000000000E+000
+8.08000000000E+007, +1.45967159617E+000, +0.00000000000E+000
+8.12000000000E+007, +1.34606154833E+000, +0.00000000000E+000
+8.16000000000E+007, +1.25326404922E+000, +0.00000000000E+000
+8.20000000000E+007, +1.17671680964E+000, +0.00000000000E+000
+8.24000000000E+007, +1.12023984084E+000, +0.00000000000E+000
+8.28000000000E+007, +1.08653241396E+000, +0.00000000000E+000
