"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.00000000000E+007, -7.13129714467E-002, +0.00000000000E+000
+6.04000000000E+007, -6.47878467152E-002, +0.00000000000E+000
+6.08000000000E+007, -1.20557354835E-001, +0.00000000000E+000
+6.12000000000E+007, -2.58345532826E-001, +0.00000000000E+000
+6.16000000000E+007, -4.67515269341E-001, +0.00000000000E+000
+6.20000000000E+007, -7.48038079762E-001, +0.00000000000E+000
+6.24000000000E+007, -1.04625036615E+000, +0.00000000000E+000
+6.28000000000E+007, -1.36718877492E+000, +0.00000000000E+000
+6.32000000000E+007, -1.64883623743E+000, +0.00000000000E+000
+6.36000000000E+007, -1.96639525232E+000, +0.00000000000E+000
+6.40000000000E+007, -2.23352818412E+000, +0.00000000000E+000
+6.44000000000E+007, -2.53245591111E+000, +0.00000000000E+000
+6.48000000000E+007, -2.75928111336E+000, +0.00000000000E+000
+6.52000000000E+007, -3.00035616737E+000, +0.00000000000E+000
+6.56000000000E+007, -3.19552698116E+000, +0.00000000000E+000
+6.60000000000E+007, -3.39647597216E+000, +0.00000000000E+000
+6.64000000000E+007, -3.55926003887E+000, +0.00000000000E+000
+6.68000000000E+007, -3.70350587684E+000, +0.00000000000E+000
+6.72000000000E+007, -3.83691134148E+000, +0.00000000000E+000
+6.76000000000E+007, -3.94035018408E+000, +0.00000000000E+000
+6.80000000000E+007, -4.04002184050E+000, +0.00000000000E+000
+6.84000000000E+007, -4.07971265043E+000, +0.00000000000E+000
+6.88000000000E+007, -4.13759162584E+000, +0.00000000000E+000
+6.92000000000E+007, -4.13997758690E+000, +0.00000000000E+000
+6.96000000000E+007, -4.15084168942E+000, +0.00000000000E+000
+7.00000000000E+007, -4.10193007704E+000, +0.00000000000E+000
+7.04000000000E+007, -4.07199892607E+000, +0.00000000000E+000
+7.08000000000E+007, -3.99795757306E+000, +0.00000000000E+000
+7.12000000000E+007, -3.91479981372E+000, +0.00000000000E+000
+7.16000000000E+007, -3.81700920778E+000, +0.00000000000E+000
+7.20000000000E+007, -3.68182582995E+000, +0.00000000000E+000
+7.24000000000E+007, -3.55254680535E+000, +0.00000000000E+000
+7.28000000000E+007, -3.41010573438E+000, +0.00000000000E+000
+7.32000000000E+007, -3.28559351354E+000, +0.00000000000E+000
+7.36000000000E+007, -3.11321061852E+000, +0.00000000000E+000
+7.40000000000E+007, -2.99316989110E+000, +0.00000000000E+000
+7.44000000000E+007, -2.87667392458E+000, +0.00000000000E+000
+7.48000000000E+007, -2.77073620374E+000, +0.00000000000E+000
+7.52000000000E+007, -2.70039110602E+000, +0.00000000000E+000
+7.56000000000E+007, -2.70982615422E+000, +0.00000000000E+000
+7.60000000000E+007, -2.72569791015E+000, +0.00000000000E+000
+7.64000000000E+007, -2.74442543097E+000, +0.00000000000E+000
+7.68000000000E+007, -2.84680350526E+000, +0.00000000000E+000
+7.72000000000E+007, -3.00722259323E+000, +0.00000000000E+000
+7.76000000000E+007, -3.21779862978E+000, +0.00000000000E+000
+7.80000000000E+007, -3.42616725147E+000, +0.00000000000E+000
+7.84000000000E+007, -3.70007788297E+000, +0.00000000000E+000
+7.88000000000E+007, -3.95338565163E+000, +0.00000000000E+000
+7.92000000000E+007, -4.20808350837E+000, +0.00000000000E+000
+7.96000000000E+007, -4.51548128115E+000, +0.00000000000E+000
+8.00000000000E+007, -4.77011538442E+000, +0.00000000000E+000
+8.04000000000E+007, -5.05309094536E+000, +0.00000000000E+000
+8.08000000000E+007, -5.30640286807E+000, +0.00000000000E+000
+8.12000000000E+007, -5.56574335004E+000, +0.00000000000E+000
