"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.00000000000E+007, -1.63902671454E+000, +0.00000000000E+000
+6.04000000000E+007, -1.44067397138E+000, +0.00000000000E+000
+6.08000000000E+007, -1.21472963878E+000, +0.00000000000E+000
+6.12000000000E+007, -9.87125550271E-001, +0.00000000000E+000
+6.16000000000E+007, -7.43887682100E-001, +0.00000000000E+000
+6.20000000000E+007, -5.02545213349E-001, +0.00000000000E+000
+6.24000000000E+007, -2.38452376160E-001, +0.00000000000E+000
+6.28000000000E+007, +1.59062704713E-002, +0.00000000000E+000
+6.32000000000E+007, +2.76448095628E-001, +0.00000000000E+000
+6.36000000000E+007, +5.13478261741E-001, +0.00000000000E+000
+6.40000000000E+007, +7.45450511744E-001, +0.00000000000E+000
+6.44000000000E+007, +9.53156564427E-001, +0.00000000000E+000
+6.48000000000E+007, +1.12725541045E+000, +0.00000000000E+000
+6.52000000000E+007, +1.27915425291E+000, +0.00000000000E+000
+6.56000000000E+007, +1.40993573079E+000, +0.00000000000E+000
+6.60000000000E+007, +1.54394490163E+000, +0.00000000000E+000
+6.64000000000E+007, +1.65843284712E+000, +0.00000000000E+000
+6.68000000000E+007, +1.76718595466E+000, +0.00000000000E+000
+6.72000000000E+007, +1.87827505220E+000, +0.00000000000E+000
+6.76000000000E+007, +1.97820917756E+000, +0.00000000000E+000
+6.80000000000E+007, +2.06656298833E+000, +0.00000000000E+000
+6.84000000000E+007, +2.13802222137E+000, +0.00000000000E+000
+6.88000000000E+007, +2.17312373124E+000, +0.00000000000E+000
+6.92000000000E+007, +2.17742872595E+000, +0.00000000000E+000
+6.96000000000E+007, +2.13093484265E+000, +0.00000000000E+000
+7.00000000000E+007, +2.05274227043E+000, +0.00000000000E+000
+7.04000000000E+007, +1.94646512998E+000, +0.00000000000E+000
+7.08000000000E+007, +1.79670219547E+000, +0.00000000000E+000
+7.12000000000E+007, +1.63933250436E+000, +0.00000000000E+000
+7.16000000000E+007, +1.48623206846E+000, +0.00000000000E+000
+7.20000000000E+007, +1.32740934057E+000, +0.00000000000E+000
+7.24000000000E+007, +1.17342365531E+000, +0.00000000000E+000
+7.28000000000E+007, +1.02578383866E+000, +0.00000000000E+000
+7.32000000000E+007, +8.84110318475E-001, +0.00000000000E+000
+7.36000000000E+007, +7.51726461556E-001, +0.00000000000E+000
+7.40000000000E+007, +6.30697399301E-001, +0.00000000000E+000
+7.44000000000E+007, +5.21861617297E-001, +0.00000000000E+000
+7.48000000000E+007, +4.18084924447E-001, +0.00000000000E+000
+7.52000000000E+007, +3.34937710554E-001, +0.00000000000E+000
+7.56000000000E+007, +2.60043807945E-001, +0.00000000000E+000
+7.60000000000E+007, +2.02760271994E-001, +0.00000000000E+000
+7.64000000000E+007, +1.54418241152E-001, +0.00000000000E+000
+7.68000000000E+007, +1.27466746997E-001, +0.00000000000E+000
+7.72000000000E+007, +1.09620160905E-001, +0.00000000000E+000
+7.76000000000E+007, +1.04066349084E-001, +0.00000000000E+000
+7.80000000000E+007, +1.11715896558E-001, +0.00000000000E+000
+7.84000000000E+007, +1.34204394683E-001, +0.00000000000E+000
+7.88000000000E+007, +1.82428411369E-001, +0.00000000000E+000
+7.92000000000E+007, +2.43711535331E-001, +0.00000000000E+000
+7.96000000000E+007, +3.13012919939E-001, +0.00000000000E+000
+8.00000000000E+007, +4.04023368893E-001, +0.00000000000E+000
+8.04000000000E+007, +5.11634790314E-001, +0.00000000000E+000
+8.08000000000E+007, +6.29046356168E-001, +0.00000000000E+000
+8.12000000000E+007, +7.77087879238E-001, +0.00000000000E+000
+8.16000000000E+007, +9.25784562786E-001, +0.00000000000E+000
+8.20000000000E+007, +1.09628968012E+000, +0.00000000000E+000
+8.24000000000E+007, +1.27667343888E+000, +0.00000000000E+000
+8.28000000000E+007, +1.47320206290E+000, +0.00000000000E+000
+8.32000000000E+007, +1.66979980728E+000, +0.00000000000E+000
+8.36000000000E+007, +1.88389706978E+000, +0.00000000000E+000
+8.40000000000E+007, +2.09084089530E+000, +0.00000000000E+000
+8.44000000000E+007, +2.29780796903E+000, +0.00000000000E+000
+8.48000000000E+007, +2.49886799243E+000, +0.00000000000E+000
+8.52000000000E+007, +2.69027716035E+000, +0.00000000000E+000
+8.56000000000E+007, +2.87208661720E+000, +0.00000000000E+000
+8.60000000000E+007, +3.02696284716E+000, +0.00000000000E+000
+8.64000000000E+007, +3.16486178392E+000, +0.00000000000E+000
+8.68000000000E+007, +3.27521648608E+000, +0.00000000000E+000
+8.72000000000E+007, +3.35878464890E+000, +0.00000000000E+000
+8.76000000000E+007, +3.39532986212E+000, +0.00000000000E+000
+8.80000000000E+007, +3.41113567782E+000, +0.00000000000E+000
+8.84000000000E+007, +3.39425184452E+000, +0.00000000000E+000
+8.88000000000E+007, +3.35894425647E+000, +0.00000000000E+000
+8.92000000000E+007, +3.29117635834E+000, +0.00000000000E+000
+8.96000000000E+007, +3.20807333052E+000, +0.00000000000E+000
+9.00000000000E+007, +3.11279545655E+000, +0.00000000000E+000
+9.04000000000E+007, +3.00327941128E+000, +0.00000000000E+000
+9.08000000000E+007, +2.87996295319E+000, +0.00000000000E+000
+9.12000000000E+007, +2.76416885292E+000, +0.00000000000E+000
+9.16000000000E+007, +2.65006749986E+000, +0.00000000000E+000
+9.20000000000E+007, +2.55114891049E+000, +0.00000000000E+000
+9.24000000000E+007, +2.45210847353E+000, +0.00000000000E+000
+9.28000000000E+007, +2.37235781477E+000, +0.00000000000E+000
+9.32000000000E+007, +2.30766468694E+000, +0.00000000000E+000
+9.36000000000E+007, +2.25899825001E+000, +0.00000000000E+000
+9.40000000000E+007, +2.23030436031E+000, +0.00000000000E+000
+9.44000000000E+007, +2.21402972324E+000, +0.00000000000E+000
+9.48000000000E+007, +2.21711572440E+000, +0.00000000000E+000
+9.52000000000E+007, +2.23668775555E+000, +0.00000000000E+000
+9.56000000000E+007, +2.27928586246E+000, +0.00000000000E+000
+9.60000000000E+007, +2.33818616383E+000, +0.00000000000E+000
+9.64000000000E+007, +2.41800830488E+000, +0.00000000000E+000
+9.68000000000E+007, +2.51400954053E+000, +0.00000000000E+000
+9.72000000000E+007, +2.62796177673E+000, +0.00000000000E+000
+9.76000000000E+007, +2.75561117845E+000, +0.00000000000E+000
+9.80000000000E+007, +2.89958277670E+000, +0.00000000000E+000
+9.84000000000E+007, +3.04664690072E+000, +0.00000000000E+000
+9.88000000000E+007, +3.20387743510E+000, +0.00000000000E+000
+9.92000000000E+007, +3.36666218755E+000, +0.00000000000E+000
+9.96000000000E+007, +3.52529814233E+000, +0.00000000000E+000
+1.00000000000E+008, +3.69134879524E+000, +0.00000000000E+000
+1.00400000000E+008, +3.84353961902E+000, +0.00000000000E+000
+1.00800000000E+008, +3.99008471724E+000, +0.00000000000E+000
+1.01200000000E+008, +4.11519676244E+000, +0.00000000000E+000
+1.01600000000E+008, +4.22644054342E+000, +0.00000000000E+000
