"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.00000000000E+007, -2.40527546843E+000, +0.00000000000E+000
+6.04000000000E+007, -2.27757509109E+000, +0.00000000000E+000
+6.08000000000E+007, -2.16527464016E+000, +0.00000000000E+000
+6.12000000000E+007, -2.09226620842E+000, +0.00000000000E+000
+6.16000000000E+007, -2.03145018533E+000, +0.00000000000E+000
+6.20000000000E+007, -1.96659708442E+000, +0.00000000000E+000
+6.24000000000E+007, -1.92406992745E+000, +0.00000000000E+000
+6.28000000000E+007, -1.89003276284E+000, +0.00000000000E+000
+6.32000000000E+007, -1.96126756147E+000, +0.00000000000E+000
+6.36000000000E+007, -2.20598698587E+000, +0.00000000000E+000
+6.40000000000E+007, -2.49896945492E+000, +0.00000000000E+000
+6.44000000000E+007, -2.75073449211E+000, +0.00000000000E+000
+6.48000000000E+007, -2.95517996695E+000, +0.00000000000E+000
+6.52000000000E+007, -3.09000489294E+000, +0.00000000000E+000
+6.56000000000E+007, -3.20463510108E+000, +0.00000000000E+000
+6.60000000000E+007, -3.29072904236E+000, +0.00000000000E+000
+6.64000000000E+007, -3.35584097300E+000, +0.00000000000E+000
+6.68000000000E+007, -3.41071265811E+000, +0.00000000000E+000
+6.72000000000E+007, -3.43202354773E+000, +0.00000000000E+000
+6.76000000000E+007, -3.42096412288E+000, +0.00000000000E+000
+6.80000000000E+007, -3.38420338135E+000, +0.00000000000E+000
+6.84000000000E+007, -3.31166057480E+000, +0.00000000000E+000
+6.88000000000E+007, -3.21334387686E+000, +0.00000000000E+000
+6.92000000000E+007, -3.09435200152E+000, +0.00000000000E+000
+6.96000000000E+007, -2.93414874146E+000, +0.00000000000E+000
+7.00000000000E+007, -2.75776221616E+000, +0.00000000000E+000
+7.04000000000E+007, -2.53817092064E+000, +0.00000000000E+000
+7.08000000000E+007, -2.30148243526E+000, +0.00000000000E+000
+7.12000000000E+007, -2.05798341326E+000, +0.00000000000E+000
+7.16000000000E+007, -1.90468083927E+000, +0.00000000000E+000
+7.20000000000E+007, -1.82467440673E+000, +0.00000000000E+000
+7.24000000000E+007, -1.75826559780E+000, +0.00000000000E+000
+7.28000000000E+007, -1.63074183943E+000, +0.00000000000E+000
+7.32000000000E+007, -1.45843288308E+000, +0.00000000000E+000
+7.36000000000E+007, -1.30618848561E+000, +0.00000000000E+000
+7.40000000000E+007, -1.17221846204E+000, +0.00000000000E+000
