"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.00000000000E+007, -3.75988619891E+000, +0.00000000000E+000
+6.04000000000E+007, -3.66504960651E+000, +0.00000000000E+000
+6.08000000000E+007, -3.63148586047E+000, +0.00000000000E+000
+6.12000000000E+007, -3.60213797912E+000, +0.00000000000E+000
+6.16000000000E+007, -3.61222160878E+000, +0.00000000000E+000
+6.20000000000E+007, -3.60526056194E+000, +0.00000000000E+000
+6.24000000000E+007, -3.63502978163E+000, +0.00000000000E+000
+6.28000000000E+007, -3.68677396565E+000, +0.00000000000E+000
+6.32000000000E+007, -3.82734624228E+000, +0.00000000000E+000
+6.36000000000E+007, -4.15166454260E+000, +0.00000000000E+000
+6.40000000000E+007, -4.50909350366E+000, +0.00000000000E+000
+6.44000000000E+007, -4.87009143329E+000, +0.00000000000E+000
+6.48000000000E+007, -5.14564991490E+000, +0.00000000000E+000
+6.52000000000E+007, -5.39004714740E+000, +0.00000000000E+000
+6.56000000000E+007, -5.58226956903E+000, +0.00000000000E+000
+6.60000000000E+007, -5.79204539670E+000, +0.00000000000E+000
+6.64000000000E+007, -5.92892460664E+000, +0.00000000000E+000
+6.68000000000E+007, -6.09461131896E+000, +0.00000000000E+000
+6.72000000000E+007, -6.21047764230E+000, +0.00000000000E+000
+6.76000000000E+007, -6.30838509324E+000, +0.00000000000E+000
+6.80000000000E+007, -6.37500447451E+000, +0.00000000000E+000
+6.84000000000E+007, -6.41626712473E+000, +0.00000000000E+000
+6.88000000000E+007, -6.44073126140E+000, +0.00000000000E+000
+6.92000000000E+007, -6.42253692665E+000, +0.00000000000E+000
+6.96000000000E+007, -6.39449861630E+000, +0.00000000000E+000
+7.00000000000E+007, -6.32321401815E+000, +0.00000000000E+000
+7.04000000000E+007, -6.24208029505E+000, +0.00000000000E+000
+7.08000000000E+007, -6.09730013563E+000, +0.00000000000E+000
+7.12000000000E+007, -5.98491668621E+000, +0.00000000000E+000
+7.16000000000E+007, -5.91228427179E+000, +0.00000000000E+000
+7.20000000000E+007, -5.94031573604E+000, +0.00000000000E+000
+7.24000000000E+007, -5.97805440171E+000, +0.00000000000E+000
+7.28000000000E+007, -5.98196985304E+000, +0.00000000000E+000
+7.32000000000E+007, -5.93887840904E+000, +0.00000000000E+000
+7.36000000000E+007, -5.90553409065E+000, +0.00000000000E+000
+7.40000000000E+007, -5.90896816769E+000, +0.00000000000E+000
+7.44000000000E+007, -5.89321876982E+000, +0.00000000000E+000
+7.48000000000E+007, -5.88235920375E+000, +0.00000000000E+000
+7.52000000000E+007, -5.80468575622E+000, +0.00000000000E+000
+7.56000000000E+007, -5.73578133321E+000, +0.00000000000E+000
+7.60000000000E+007, -5.64249594593E+000, +0.00000000000E+000
+7.64000000000E+007, -5.56418363815E+000, +0.00000000000E+000
+7.68000000000E+007, -5.50330476104E+000, +0.00000000000E+000
+7.72000000000E+007, -5.44663209057E+000, +0.00000000000E+000
+7.76000000000E+007, -5.40154790791E+000, +0.00000000000E+000
+7.80000000000E+007, -5.36725868965E+000, +0.00000000000E+000
+7.84000000000E+007, -5.39083668408E+000, +0.00000000000E+000
+7.88000000000E+007, -5.43264434012E+000, +0.00000000000E+000
+7.92000000000E+007, -5.61670551151E+000, +0.00000000000E+000
+7.96000000000E+007, -6.01201349537E+000, +0.00000000000E+000
+8.00000000000E+007, -6.42013540680E+000, +0.00000000000E+000
+8.04000000000E+007, -6.78980641523E+000, +0.00000000000E+000
+8.08000000000E+007, -7.15036142370E+000, +0.00000000000E+000
+8.12000000000E+007, -7.42649658497E+000, +0.00000000000E+000
+8.16000000000E+007, -7.66785948234E+000, +0.00000000000E+000
+8.20000000000E+007, -7.88423750132E+000, +0.00000000000E+000
+8.24000000000E+007, -8.04517496058E+000, +0.00000000000E+000
+8.28000000000E+007, -8.17997442340E+000, +0.00000000000E+000
+8.32000000000E+007, -8.28174935300E+000, +0.00000000000E+000
+8.36000000000E+007, -8.37606983100E+000, +0.00000000000E+000
+8.40000000000E+007, -8.40210219097E+000, +0.00000000000E+000
+8.44000000000E+007, -8.41782175338E+000, +0.00000000000E+000
+8.48000000000E+007, -8.38317360172E+000, +0.00000000000E+000
+8.52000000000E+007, -8.28764918285E+000, +0.00000000000E+000
+8.56000000000E+007, -8.15081125987E+000, +0.00000000000E+000
+8.60000000000E+007, -7.94066660614E+000, +0.00000000000E+000
+8.64000000000E+007, -7.76331252048E+000, +0.00000000000E+000
+8.68000000000E+007, -7.60691166022E+000, +0.00000000000E+000
+8.72000000000E+007, -7.50166621091E+000, +0.00000000000E+000
+8.76000000000E+007, -7.32344067852E+000, +0.00000000000E+000
+8.80000000000E+007, -7.13733457993E+000, +0.00000000000E+000
+8.84000000000E+007, -7.00575908214E+000, +0.00000000000E+000
+8.88000000000E+007, -6.82881490927E+000, +0.00000000000E+000
+8.92000000000E+007, -6.60732953989E+000, +0.00000000000E+000
+8.96000000000E+007, -6.37686119326E+000, +0.00000000000E+000
+9.00000000000E+007, -6.14952399934E+000, +0.00000000000E+000
+9.04000000000E+007, -5.88635852976E+000, +0.00000000000E+000
+9.08000000000E+007, -5.69022007783E+000, +0.00000000000E+000
+9.12000000000E+007, -5.43602980362E+000, +0.00000000000E+000
+9.16000000000E+007, -5.20501266626E+000, +0.00000000000E+000
+9.20000000000E+007, -4.98285661026E+000, +0.00000000000E+000
+9.24000000000E+007, -4.73973247711E+000, +0.00000000000E+000
+9.28000000000E+007, -4.54469354623E+000, +0.00000000000E+000
+9.32000000000E+007, -4.46325163150E+000, +0.00000000000E+000
+9.36000000000E+007, -4.46044743514E+000, +0.00000000000E+000
+9.40000000000E+007, -4.57325622498E+000, +0.00000000000E+000
+9.44000000000E+007, -4.72754489549E+000, +0.00000000000E+000
+9.48000000000E+007, -4.88325267378E+000, +0.00000000000E+000
+9.52000000000E+007, -5.05152905149E+000, +0.00000000000E+000
+9.56000000000E+007, -5.19236326888E+000, +0.00000000000E+000
+9.60000000000E+007, -5.32546935294E+000, +0.00000000000E+000
+9.64000000000E+007, -5.40251631456E+000, +0.00000000000E+000
+9.68000000000E+007, -5.51146435784E+000, +0.00000000000E+000
+9.72000000000E+007, -5.58194111675E+000, +0.00000000000E+000
+9.76000000000E+007, -5.63750738099E+000, +0.00000000000E+000
+9.80000000000E+007, -5.68164049125E+000, +0.00000000000E+000
+9.84000000000E+007, -5.70471029850E+000, +0.00000000000E+000
+9.88000000000E+007, -5.72107391845E+000, +0.00000000000E+000
+9.92000000000E+007, -5.71900478234E+000, +0.00000000000E+000
+9.96000000000E+007, -5.73175267633E+000, +0.00000000000E+000
+1.00000000000E+008, -5.71422200743E+000, +0.00000000000E+000
+1.00400000000E+008, -5.70957965049E+000, +0.00000000000E+000
+1.00800000000E+008, -5.64973195956E+000, +0.00000000000E+000
+1.01200000000E+008, -5.60450034677E+000, +0.00000000000E+000
+1.01600000000E+008, -5.54151505572E+000, +0.00000000000E+000
+1.02000000000E+008, -5.48994109225E+000, +0.00000000000E+000
+1.02400000000E+008, -5.42171906630E+000, +0.00000000000E+000
+1.02800000000E+008, -5.42980424512E+000, +0.00000000000E+000
+1.03200000000E+008, -5.46325053227E+000, +0.00000000000E+000
+1.03600000000E+008, -5.45790514898E+000, +0.00000000000E+000
+1.04000000000E+008, -5.47801988229E+000, +0.00000000000E+000
+1.04400000000E+008, -5.47166184530E+000, +0.00000000000E+000
+1.04800000000E+008, -5.46765376544E+000, +0.00000000000E+000
+1.05200000000E+008, -5.44947239041E+000, +0.00000000000E+000
+1.05600000000E+008, -5.45579195351E+000, +0.00000000000E+000
+1.06000000000E+008, -5.38559090884E+000, +0.00000000000E+000
+1.06400000000E+008, -5.34130675767E+000, +0.00000000000E+000
+1.06800000000E+008, -5.25843176646E+000, +0.00000000000E+000
+1.07200000000E+008, -5.20162040521E+000, +0.00000000000E+000
+1.07600000000E+008, -5.14100432212E+000, +0.00000000000E+000
+1.08000000000E+008, -5.11694072743E+000, +0.00000000000E+000
+1.08400000000E+008, -5.12452232296E+000, +0.00000000000E+000
+1.08800000000E+008, -5.15707530693E+000, +0.00000000000E+000
+1.09200000000E+008, -5.30410243034E+000, +0.00000000000E+000
+1.09600000000E+008, -5.50757980657E+000, +0.00000000000E+000
+1.10000000000E+008, -5.79686766284E+000, +0.00000000000E+000
+1.10400000000E+008, -5.99723515289E+000, +0.00000000000E+000
+1.10800000000E+008, -6.20974934166E+000, +0.00000000000E+000
+1.11200000000E+008, -6.33400202876E+000, +0.00000000000E+000
+1.11600000000E+008, -6.40469492859E+000, +0.00000000000E+000
+1.12000000000E+008, -6.40044961427E+000, +0.00000000000E+000
+1.12400000000E+008, -6.33446237293E+000, +0.00000000000E+000
+1.12800000000E+008, -6.22698196178E+000, +0.00000000000E+000
+1.13200000000E+008, -6.07778838746E+000, +0.00000000000E+000
+1.13600000000E+008, -5.88690267161E+000, +0.00000000000E+000
+1.14000000000E+008, -5.64031142753E+000, +0.00000000000E+000
+1.14400000000E+008, -5.36976819198E+000, +0.00000000000E+000
+1.14800000000E+008, -5.05175377017E+000, +0.00000000000E+000
+1.15200000000E+008, -4.73958624249E+000, +0.00000000000E+000
+1.15600000000E+008, -4.38912972135E+000, +0.00000000000E+000
+1.16000000000E+008, -4.05935619029E+000, +0.00000000000E+000
+1.16400000000E+008, -3.74946356594E+000, +0.00000000000E+000
+1.16800000000E+008, -3.48454017199E+000, +0.00000000000E+000
+1.17200000000E+008, -3.26198451031E+000, +0.00000000000E+000
+1.17600000000E+008, -3.04442286045E+000, +0.00000000000E+000
+1.18000000000E+008, -2.83114263097E+000, +0.00000000000E+000
+1.18400000000E+008, -2.60324525537E+000, +0.00000000000E+000
