"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.00000000000E+007, -3.67632686120E+000, +0.00000000000E+000
+6.04000000000E+007, -3.44002385797E+000, +0.00000000000E+000
+6.08000000000E+007, -3.30588069599E+000, +0.00000000000E+000
+6.12000000000E+007, -3.34678611575E+000, +0.00000000000E+000
+6.16000000000E+007, -3.46292652588E+000, +0.00000000000E+000
+6.20000000000E+007, -3.59773786809E+000, +0.00000000000E+000
+6.24000000000E+007, -3.72191251522E+000, +0.00000000000E+000
+6.28000000000E+007, -3.77419643152E+000, +0.00000000000E+000
+6.32000000000E+007, -3.71753483194E+000, +0.00000000000E+000
+6.36000000000E+007, -3.50905479522E+000, +0.00000000000E+000
+6.40000000000E+007, -3.29352292531E+000, +0.00000000000E+000
+6.44000000000E+007, -3.13651803720E+000, +0.00000000000E+000
+6.48000000000E+007, -3.02300734202E+000, +0.00000000000E+000
+6.52000000000E+007, -2.87345448705E+000, +0.00000000000E+000
+6.56000000000E+007, -2.72719314386E+000, +0.00000000000E+000
+6.60000000000E+007, -2.54824466098E+000, +0.00000000000E+000
+6.64000000000E+007, -2.33796797847E+000, +0.00000000000E+000
+6.68000000000E+007, -2.10423698709E+000, +0.00000000000E+000
+6.72000000000E+007, -1.87278559544E+000, +0.00000000000E+000
+6.76000000000E+007, -1.65931817181E+000, +0.00000000000E+000
+6.80000000000E+007, -1.47801778058E+000, +0.00000000000E+000
+6.84000000000E+007, -1.34948537389E+000, +0.00000000000E+000
+6.88000000000E+007, -1.25303781058E+000, +0.00000000000E+000
+6.92000000000E+007, -1.18700823115E+000, +0.00000000000E+000
+6.96000000000E+007, -1.11534025402E+000, +0.00000000000E+000
+7.00000000000E+007, -1.07595037103E+000, +0.00000000000E+000
+7.04000000000E+007, -9.86545613346E-001, +0.00000000000E+000
+7.08000000000E+007, -8.73486196478E-001, +0.00000000000E+000
+7.12000000000E+007, -7.67776501710E-001, +0.00000000000E+000
+7.16000000000E+007, -6.61449154036E-001, +0.00000000000E+000
+7.20000000000E+007, -5.97021600077E-001, +0.00000000000E+000
+7.24000000000E+007, -6.69024981634E-001, +0.00000000000E+000
+7.28000000000E+007, -8.36776946145E-001, +0.00000000000E+000
+7.32000000000E+007, -1.01265751454E+000, +0.00000000000E+000
+7.36000000000E+007, -1.20483638207E+000, +0.00000000000E+000
+7.40000000000E+007, -1.38574241913E+000, +0.00000000000E+000
+7.44000000000E+007, -1.53562717390E+000, +0.00000000000E+000
+7.48000000000E+007, -1.68085247822E+000, +0.00000000000E+000
+7.52000000000E+007, -1.80168724825E+000, +0.00000000000E+000
+7.56000000000E+007, -1.90980049649E+000, +0.00000000000E+000
+7.60000000000E+007, -1.97760718858E+000, +0.00000000000E+000
+7.64000000000E+007, -2.05230851880E+000, +0.00000000000E+000
+7.68000000000E+007, -2.09795308586E+000, +0.00000000000E+000
+7.72000000000E+007, -2.12722692293E+000, +0.00000000000E+000
+7.76000000000E+007, -2.14100848334E+000, +0.00000000000E+000
+7.80000000000E+007, -2.15078190919E+000, +0.00000000000E+000
+7.84000000000E+007, -2.12616982419E+000, +0.00000000000E+000
+7.88000000000E+007, -2.10824591226E+000, +0.00000000000E+000
+7.92000000000E+007, -2.06894748929E+000, +0.00000000000E+000
+7.96000000000E+007, -2.00554464613E+000, +0.00000000000E+000
+8.00000000000E+007, -1.94562142976E+000, +0.00000000000E+000
+8.04000000000E+007, -1.81825612202E+000, +0.00000000000E+000
+8.08000000000E+007, -1.66128516654E+000, +0.00000000000E+000
+8.12000000000E+007, -1.47302577561E+000, +0.00000000000E+000
+8.16000000000E+007, -1.25943713503E+000, +0.00000000000E+000
+8.20000000000E+007, -1.02101428139E+000, +0.00000000000E+000
+8.24000000000E+007, -7.75146651613E-001, +0.00000000000E+000
+8.28000000000E+007, -5.20208336072E-001, +0.00000000000E+000
+8.32000000000E+007, -3.13974838383E-001, +0.00000000000E+000
+8.36000000000E+007, -1.51879052427E-001, +0.00000000000E+000
+8.40000000000E+007, -2.54124905216E-002, +0.00000000000E+000
+8.44000000000E+007, +7.80716207924E-002, +0.00000000000E+000
+8.48000000000E+007, +1.79581711833E-001, +0.00000000000E+000
+8.52000000000E+007, +2.77437469141E-001, +0.00000000000E+000
+8.56000000000E+007, +3.77317788709E-001, +0.00000000000E+000
+8.60000000000E+007, +5.00513223724E-001, +0.00000000000E+000
+8.64000000000E+007, +6.49947426070E-001, +0.00000000000E+000
+8.68000000000E+007, +8.16872992169E-001, +0.00000000000E+000
+8.72000000000E+007, +9.98084108384E-001, +0.00000000000E+000
+8.76000000000E+007, +1.17379038973E+000, +0.00000000000E+000
+8.80000000000E+007, +1.34259684085E+000, +0.00000000000E+000
+8.84000000000E+007, +1.50566987684E+000, +0.00000000000E+000
+8.88000000000E+007, +1.65361895505E+000, +0.00000000000E+000
+8.92000000000E+007, +1.78042251916E+000, +0.00000000000E+000
+8.96000000000E+007, +1.87940625691E+000, +0.00000000000E+000
+9.00000000000E+007, +1.89549586434E+000, +0.00000000000E+000
+9.04000000000E+007, +1.80625096619E+000, +0.00000000000E+000
+9.08000000000E+007, +1.60712591003E+000, +0.00000000000E+000
+9.12000000000E+007, +1.42971724022E+000, +0.00000000000E+000
+9.16000000000E+007, +1.24196502339E+000, +0.00000000000E+000
+9.20000000000E+007, +1.08288231804E+000, +0.00000000000E+000
+9.24000000000E+007, +9.45508399458E-001, +0.00000000000E+000
+9.28000000000E+007, +8.36811163452E-001, +0.00000000000E+000
+9.32000000000E+007, +7.43796609236E-001, +0.00000000000E+000
+9.36000000000E+007, +6.73601603269E-001, +0.00000000000E+000
+9.40000000000E+007, +6.39531190675E-001, +0.00000000000E+000
+9.44000000000E+007, +6.13793212557E-001, +0.00000000000E+000
+9.48000000000E+007, +6.16553572097E-001, +0.00000000000E+000
+9.52000000000E+007, +6.40489562842E-001, +0.00000000000E+000
+9.56000000000E+007, +6.92976474673E-001, +0.00000000000E+000
+9.60000000000E+007, +7.58049538460E-001, +0.00000000000E+000
+9.64000000000E+007, +8.43444498815E-001, +0.00000000000E+000
+9.68000000000E+007, +9.47137755988E-001, +0.00000000000E+000
+9.72000000000E+007, +1.07029871183E+000, +0.00000000000E+000
+9.76000000000E+007, +1.18526512723E+000, +0.00000000000E+000
+9.80000000000E+007, +1.27512660128E+000, +0.00000000000E+000
+9.84000000000E+007, +1.31720092416E+000, +0.00000000000E+000
+9.88000000000E+007, +1.32258053973E+000, +0.00000000000E+000
+9.92000000000E+007, +1.32437524052E+000, +0.00000000000E+000
+9.96000000000E+007, +1.33922282950E+000, +0.00000000000E+000
+1.00000000000E+008, +1.39678826880E+000, +0.00000000000E+000
+1.00400000000E+008, +1.47127514943E+000, +0.00000000000E+000
+1.00800000000E+008, +1.56321301472E+000, +0.00000000000E+000
+1.01200000000E+008, +1.65176633591E+000, +0.00000000000E+000
+1.01600000000E+008, +1.78493688671E+000, +0.00000000000E+000
+1.02000000000E+008, +1.93771418580E+000, +0.00000000000E+000
+1.02400000000E+008, +2.11535673589E+000, +0.00000000000E+000
+1.02800000000E+008, +2.30650924412E+000, +0.00000000000E+000
+1.03200000000E+008, +2.49729332776E+000, +0.00000000000E+000
+1.03600000000E+008, +2.69386731278E+000, +0.00000000000E+000
+1.04000000000E+008, +2.86415455168E+000, +0.00000000000E+000
+1.04400000000E+008, +2.98635942307E+000, +0.00000000000E+000
+1.04800000000E+008, +3.04516472454E+000, +0.00000000000E+000
+1.05200000000E+008, +3.00643566623E+000, +0.00000000000E+000
+1.05600000000E+008, +2.88681969673E+000, +0.00000000000E+000
+1.06000000000E+008, +2.70468298261E+000, +0.00000000000E+000
+1.06400000000E+008, +2.52044615810E+000, +0.00000000000E+000
+1.06800000000E+008, +2.35770945378E+000, +0.00000000000E+000
+1.07200000000E+008, +2.21368232306E+000, +0.00000000000E+000
+1.07600000000E+008, +2.09074479745E+000, +0.00000000000E+000
+1.08000000000E+008, +1.99044741366E+000, +0.00000000000E+000
+1.08400000000E+008, +1.90781485128E+000, +0.00000000000E+000
+1.08800000000E+008, +1.84147999308E+000, +0.00000000000E+000
+1.09200000000E+008, +1.77846053681E+000, +0.00000000000E+000
+1.09600000000E+008, +1.73145582823E+000, +0.00000000000E+000
+1.10000000000E+008, +1.70111190466E+000, +0.00000000000E+000
+1.10400000000E+008, +1.69353348282E+000, +0.00000000000E+000
+1.10800000000E+008, +1.72696207123E+000, +0.00000000000E+000
+1.11200000000E+008, +1.79835211608E+000, +0.00000000000E+000
+1.11600000000E+008, +1.91635823376E+000, +0.00000000000E+000
+1.12000000000E+008, +2.05746225077E+000, +0.00000000000E+000
+1.12400000000E+008, +2.20285610888E+000, +0.00000000000E+000
+1.12800000000E+008, +2.31166301681E+000, +0.00000000000E+000
+1.13200000000E+008, +2.37209674417E+000, +0.00000000000E+000
+1.13600000000E+008, +2.40670903914E+000, +0.00000000000E+000
+1.14000000000E+008, +2.42729789490E+000, +0.00000000000E+000
+1.14400000000E+008, +2.44885116062E+000, +0.00000000000E+000
+1.14800000000E+008, +2.47354907426E+000, +0.00000000000E+000
+1.15200000000E+008, +2.50312750776E+000, +0.00000000000E+000
+1.15600000000E+008, +2.56564038699E+000, +0.00000000000E+000
+1.16000000000E+008, +2.65666777548E+000, +0.00000000000E+000
+1.16400000000E+008, +2.77639712590E+000, +0.00000000000E+000
+1.16800000000E+008, +2.92697410380E+000, +0.00000000000E+000
+1.17200000000E+008, +3.07881151369E+000, +0.00000000000E+000
+1.17600000000E+008, +3.23769684602E+000, +0.00000000000E+000
+1.18000000000E+008, +3.39246856882E+000, +0.00000000000E+000
+1.18400000000E+008, +3.54695365773E+000, +0.00000000000E+000
+1.18800000000E+008, +3.70697677854E+000, +0.00000000000E+000
+1.19200000000E+008, +3.85821020836E+000, +0.00000000000E+000
+1.19600000000E+008, +4.01082139640E+000, +0.00000000000E+000
+1.20000000000E+008, +4.13272913337E+000, +0.00000000000E+000
+1.20400000000E+008, +4.19782937992E+000, +0.00000000000E+000
+1.20800000000E+008, +4.15850813884E+000, +0.00000000000E+000
+1.21200000000E+008, +4.00366720099E+000, +0.00000000000E+000
+1.21600000000E+008, +3.77677733863E+000, +0.00000000000E+000
+1.22000000000E+008, +3.52795493103E+000, +0.00000000000E+000
+1.22400000000E+008, +3.29869657157E+000, +0.00000000000E+000
+1.22800000000E+008, +3.09638328930E+000, +0.00000000000E+000
+1.23200000000E+008, +2.90981640027E+000, +0.00000000000E+000
+1.23600000000E+008, +2.74688504271E+000, +0.00000000000E+000
+1.24000000000E+008, +2.60588368169E+000, +0.00000000000E+000
+1.24400000000E+008, +2.47410139702E+000, +0.00000000000E+000
+1.24800000000E+008, +2.35223736052E+000, +0.00000000000E+000
+1.25200000000E+008, +2.23406077893E+000, +0.00000000000E+000
+1.25600000000E+008, +2.13805699014E+000, +0.00000000000E+000
+1.26000000000E+008, +2.05790453048E+000, +0.00000000000E+000
+1.26400000000E+008, +1.99527722957E+000, +0.00000000000E+000
