"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.00000000000E+007, -4.96258968315E+000, +0.00000000000E+000
+6.04000000000E+007, -4.68116432559E+000, +0.00000000000E+000
+6.08000000000E+007, -4.57706100634E+000, +0.00000000000E+000
+6.12000000000E+007, -4.63065226378E+000, +0.00000000000E+000
+6.16000000000E+007, -4.81022363396E+000, +0.00000000000E+000
+6.20000000000E+007, -4.98964413972E+000, +0.00000000000E+000
+6.24000000000E+007, -5.16354185430E+000, +0.00000000000E+000
+6.28000000000E+007, -5.25652440702E+000, +0.00000000000E+000
+6.32000000000E+007, -5.15835571384E+000, +0.00000000000E+000
+6.36000000000E+007, -4.88823594609E+000, +0.00000000000E+000
+6.40000000000E+007, -4.59217444775E+000, +0.00000000000E+000
+6.44000000000E+007, -4.47016660871E+000, +0.00000000000E+000
+6.48000000000E+007, -4.34322605682E+000, +0.00000000000E+000
+6.52000000000E+007, -4.24896487786E+000, +0.00000000000E+000
+6.56000000000E+007, -4.11295291676E+000, +0.00000000000E+000
+6.60000000000E+007, -3.99523324655E+000, +0.00000000000E+000
+6.64000000000E+007, -3.81500996791E+000, +0.00000000000E+000
+6.68000000000E+007, -3.61693365774E+000, +0.00000000000E+000
+6.72000000000E+007, -3.43114961402E+000, +0.00000000000E+000
+6.76000000000E+007, -3.23910717218E+000, +0.00000000000E+000
+6.80000000000E+007, -3.14429521712E+000, +0.00000000000E+000
+6.84000000000E+007, -3.02163787095E+000, +0.00000000000E+000
+6.88000000000E+007, -3.00686931224E+000, +0.00000000000E+000
+6.92000000000E+007, -2.97501863083E+000, +0.00000000000E+000
+6.96000000000E+007, -2.97931647089E+000, +0.00000000000E+000
+7.00000000000E+007, -2.96462243956E+000, +0.00000000000E+000
+7.04000000000E+007, -2.93819900562E+000, +0.00000000000E+000
+7.08000000000E+007, -2.87678628259E+000, +0.00000000000E+000
+7.12000000000E+007, -2.81779104707E+000, +0.00000000000E+000
+7.16000000000E+007, -2.79106495099E+000, +0.00000000000E+000
+7.20000000000E+007, -2.76439083853E+000, +0.00000000000E+000
+7.24000000000E+007, -2.94051814345E+000, +0.00000000000E+000
+7.28000000000E+007, -3.15677301930E+000, +0.00000000000E+000
+7.32000000000E+007, -3.43941381754E+000, +0.00000000000E+000
+7.36000000000E+007, -3.69340934871E+000, +0.00000000000E+000
+7.40000000000E+007, -3.97790748851E+000, +0.00000000000E+000
+7.44000000000E+007, -4.20394357373E+000, +0.00000000000E+000
+7.48000000000E+007, -4.44176372839E+000, +0.00000000000E+000
+7.52000000000E+007, -4.66629055562E+000, +0.00000000000E+000
+7.56000000000E+007, -4.84656392502E+000, +0.00000000000E+000
+7.60000000000E+007, -5.02259776925E+000, +0.00000000000E+000
+7.64000000000E+007, -5.17273808890E+000, +0.00000000000E+000
+7.68000000000E+007, -5.34180160957E+000, +0.00000000000E+000
+7.72000000000E+007, -5.44253178210E+000, +0.00000000000E+000
+7.76000000000E+007, -5.57332816148E+000, +0.00000000000E+000
+7.80000000000E+007, -5.68236382778E+000, +0.00000000000E+000
+7.84000000000E+007, -5.77199059023E+000, +0.00000000000E+000
+7.88000000000E+007, -5.87886732026E+000, +0.00000000000E+000
+7.92000000000E+007, -5.96820868894E+000, +0.00000000000E+000
+7.96000000000E+007, -6.02823572590E+000, +0.00000000000E+000
+8.00000000000E+007, -6.08622951341E+000, +0.00000000000E+000
+8.04000000000E+007, -6.14215575205E+000, +0.00000000000E+000
