"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.00000000000E+007, -1.69027454537E+000, +0.00000000000E+000
+6.04000000000E+007, -1.72956005678E+000, +0.00000000000E+000
+6.08000000000E+007, -1.77398574967E+000, +0.00000000000E+000
+6.12000000000E+007, -1.82592236378E+000, +0.00000000000E+000
+6.16000000000E+007, -1.87166223006E+000, +0.00000000000E+000
+6.20000000000E+007, -1.94069599685E+000, +0.00000000000E+000
+6.24000000000E+007, -1.98294156610E+000, +0.00000000000E+000
+6.28000000000E+007, -2.06006221509E+000, +0.00000000000E+000
+6.32000000000E+007, -2.10329839171E+000, +0.00000000000E+000
+6.36000000000E+007, -2.19574365556E+000, +0.00000000000E+000
+6.40000000000E+007, -2.24916881851E+000, +0.00000000000E+000
+6.44000000000E+007, -2.34249737185E+000, +0.00000000000E+000
+6.48000000000E+007, -2.39282501233E+000, +0.00000000000E+000
+6.52000000000E+007, -2.47500787169E+000, +0.00000000000E+000
+6.56000000000E+007, -2.55405248155E+000, +0.00000000000E+000
+6.60000000000E+007, -2.64299686586E+000, +0.00000000000E+000
+6.64000000000E+007, -2.72975340082E+000, +0.00000000000E+000
+6.68000000000E+007, -2.81472188103E+000, +0.00000000000E+000
+6.72000000000E+007, -2.93424140623E+000, +0.00000000000E+000
+6.76000000000E+007, -3.01948676693E+000, +0.00000000000E+000
+6.80000000000E+007, -3.13415916188E+000, +0.00000000000E+000
+6.84000000000E+007, -3.21615838043E+000, +0.00000000000E+000
+6.88000000000E+007, -3.34648839407E+000, +0.00000000000E+000
+6.92000000000E+007, -3.44159328746E+000, +0.00000000000E+000
+6.96000000000E+007, -3.57614780400E+000, +0.00000000000E+000
+7.00000000000E+007, -3.67752696504E+000, +0.00000000000E+000
+7.04000000000E+007, -3.81832144236E+000, +0.00000000000E+000
+7.08000000000E+007, -3.92941484345E+000, +0.00000000000E+000
+7.12000000000E+007, -4.06350362645E+000, +0.00000000000E+000
+7.16000000000E+007, -4.18750974756E+000, +0.00000000000E+000
+7.20000000000E+007, -4.30502240945E+000, +0.00000000000E+000
+7.24000000000E+007, -4.45510631525E+000, +0.00000000000E+000
+7.28000000000E+007, -4.58149889180E+000, +0.00000000000E+000
+7.32000000000E+007, -4.72095148285E+000, +0.00000000000E+000
+7.36000000000E+007, -4.85128375685E+000, +0.00000000000E+000
+7.40000000000E+007, -5.03170654250E+000, +0.00000000000E+000
+7.44000000000E+007, -5.14371778324E+000, +0.00000000000E+000
+7.48000000000E+007, -5.29608427945E+000, +0.00000000000E+000
+7.52000000000E+007, -5.46607522272E+000, +0.00000000000E+000
+7.56000000000E+007, -5.60076152552E+000, +0.00000000000E+000
+7.60000000000E+007, -5.72245382427E+000, +0.00000000000E+000
+7.64000000000E+007, -5.86838245271E+000, +0.00000000000E+000
+7.68000000000E+007, -6.02213313703E+000, +0.00000000000E+000
+7.72000000000E+007, -6.17693558715E+000, +0.00000000000E+000
+7.76000000000E+007, -6.32084908860E+000, +0.00000000000E+000
+7.80000000000E+007, -6.44793092392E+000, +0.00000000000E+000
+7.84000000000E+007, -6.59095940685E+000, +0.00000000000E+000
+7.88000000000E+007, -6.69903236891E+000, +0.00000000000E+000
+7.92000000000E+007, -6.86659408734E+000, +0.00000000000E+000
+7.96000000000E+007, -6.98901732062E+000, +0.00000000000E+000
+8.00000000000E+007, -7.08921543658E+000, +0.00000000000E+000
+8.04000000000E+007, -7.25113514649E+000, +0.00000000000E+000
+8.08000000000E+007, -7.37579679943E+000, +0.00000000000E+000
+8.12000000000E+007, -7.47840835080E+000, +0.00000000000E+000
+8.16000000000E+007, -7.57055909155E+000, +0.00000000000E+000
+8.20000000000E+007, -7.66221488579E+000, +0.00000000000E+000
+8.24000000000E+007, -7.76578929990E+000, +0.00000000000E+000
+8.28000000000E+007, -7.85287851887E+000, +0.00000000000E+000
+8.32000000000E+007, -7.89819043296E+000, +0.00000000000E+000
+8.36000000000E+007, -7.92558809585E+000, +0.00000000000E+000
+8.40000000000E+007, -8.00376908422E+000, +0.00000000000E+000
+8.44000000000E+007, -8.02056237551E+000, +0.00000000000E+000
+8.48000000000E+007, -8.02524853320E+000, +0.00000000000E+000
+8.52000000000E+007, -7.99964430906E+000, +0.00000000000E+000
+8.56000000000E+007, -7.99581659449E+000, +0.00000000000E+000
+8.60000000000E+007, -8.00155758161E+000, +0.00000000000E+000
+8.64000000000E+007, -7.97555130263E+000, +0.00000000000E+000
+8.68000000000E+007, -7.89585283255E+000, +0.00000000000E+000
+8.72000000000E+007, -7.88647996821E+000, +0.00000000000E+000
+8.76000000000E+007, -7.90641101218E+000, +0.00000000000E+000
+8.80000000000E+007, -7.81692298098E+000, +0.00000000000E+000
+8.84000000000E+007, -7.76739120522E+000, +0.00000000000E+000
+8.88000000000E+007, -7.74560339185E+000, +0.00000000000E+000
+8.92000000000E+007, -7.67501787759E+000, +0.00000000000E+000
+8.96000000000E+007, -7.58460802801E+000, +0.00000000000E+000
+9.00000000000E+007, -7.51130951457E+000, +0.00000000000E+000
+9.04000000000E+007, -7.45055455650E+000, +0.00000000000E+000
+9.08000000000E+007, -7.40848542531E+000, +0.00000000000E+000
+9.12000000000E+007, -7.35334880248E+000, +0.00000000000E+000
+9.16000000000E+007, -7.25215821669E+000, +0.00000000000E+000
+9.20000000000E+007, -7.21808919207E+000, +0.00000000000E+000
+9.24000000000E+007, -7.13591732221E+000, +0.00000000000E+000
+9.28000000000E+007, -7.06518334168E+000, +0.00000000000E+000
+9.32000000000E+007, -7.01666097712E+000, +0.00000000000E+000
+9.36000000000E+007, -6.99516029658E+000, +0.00000000000E+000
+9.40000000000E+007, -6.92887813715E+000, +0.00000000000E+000
+9.44000000000E+007, -6.87444569006E+000, +0.00000000000E+000
+9.48000000000E+007, -6.84813683785E+000, +0.00000000000E+000
+9.52000000000E+007, -6.81580786888E+000, +0.00000000000E+000
+9.56000000000E+007, -6.76757133122E+000, +0.00000000000E+000
+9.60000000000E+007, -6.74968851280E+000, +0.00000000000E+000
+9.64000000000E+007, -6.72712896908E+000, +0.00000000000E+000
+9.68000000000E+007, -6.68170053740E+000, +0.00000000000E+000
+9.72000000000E+007, -6.69378164467E+000, +0.00000000000E+000
+9.76000000000E+007, -6.70743239505E+000, +0.00000000000E+000
+9.80000000000E+007, -6.71197130227E+000, +0.00000000000E+000
+9.84000000000E+007, -6.70264206031E+000, +0.00000000000E+000
+9.88000000000E+007, -6.75439821617E+000, +0.00000000000E+000
+9.92000000000E+007, -6.77959567828E+000, +0.00000000000E+000
+9.96000000000E+007, -6.80641283211E+000, +0.00000000000E+000
+1.00000000000E+008, -6.85046670676E+000, +0.00000000000E+000
+1.00400000000E+008, -6.88823854560E+000, +0.00000000000E+000
+1.00800000000E+008, -6.93434057399E+000, +0.00000000000E+000
+1.01200000000E+008, -6.99396298811E+000, +0.00000000000E+000
+1.01600000000E+008, -7.05742928975E+000, +0.00000000000E+000
+1.02000000000E+008, -7.11309510776E+000, +0.00000000000E+000
+1.02400000000E+008, -7.20668529820E+000, +0.00000000000E+000
