"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.00000000000E+007, -1.84438189173E+000, +0.00000000000E+000
+6.04000000000E+007, -1.83661136729E+000, +0.00000000000E+000
+6.08000000000E+007, -1.88225952430E+000, +0.00000000000E+000
+6.12000000000E+007, -1.89025006584E+000, +0.00000000000E+000
+6.16000000000E+007, -1.91204674517E+000, +0.00000000000E+000
+6.20000000000E+007, -1.93198411289E+000, +0.00000000000E+000
+6.24000000000E+007, -1.93823234892E+000, +0.00000000000E+000
+6.28000000000E+007, -1.98644779055E+000, +0.00000000000E+000
+6.32000000000E+007, -1.97889164690E+000, +0.00000000000E+000
+6.36000000000E+007, -2.03631687635E+000, +0.00000000000E+000
+6.40000000000E+007, -2.03667800230E+000, +0.00000000000E+000
+6.44000000000E+007, -2.08952216792E+000, +0.00000000000E+000
+6.48000000000E+007, -2.08981696828E+000, +0.00000000000E+000
+6.52000000000E+007, -2.13374468689E+000, +0.00000000000E+000
+6.56000000000E+007, -2.15372320411E+000, +0.00000000000E+000
+6.60000000000E+007, -2.18240499418E+000, +0.00000000000E+000
+6.64000000000E+007, -2.21921859030E+000, +0.00000000000E+000
+6.68000000000E+007, -2.23791203478E+000, +0.00000000000E+000
+6.72000000000E+007, -2.30447149163E+000, +0.00000000000E+000
+6.76000000000E+007, -2.31381969278E+000, +0.00000000000E+000
+6.80000000000E+007, -2.37151176225E+000, +0.00000000000E+000
+6.84000000000E+007, -2.37979048898E+000, +0.00000000000E+000
+6.88000000000E+007, -2.44482005196E+000, +0.00000000000E+000
+6.92000000000E+007, -2.46362762485E+000, +0.00000000000E+000
+6.96000000000E+007, -2.52298535378E+000, +0.00000000000E+000
+7.00000000000E+007, -2.55646750963E+000, +0.00000000000E+000
+7.04000000000E+007, -2.58815683916E+000, +0.00000000000E+000
+7.08000000000E+007, -2.64919621678E+000, +0.00000000000E+000
+7.12000000000E+007, -2.68529022950E+000, +0.00000000000E+000
+7.16000000000E+007, -2.76139007603E+000, +0.00000000000E+000
+7.20000000000E+007, -2.79388811946E+000, +0.00000000000E+000
+7.24000000000E+007, -2.86859403061E+000, +0.00000000000E+000
+7.28000000000E+007, -2.89270680776E+000, +0.00000000000E+000
+7.32000000000E+007, -2.97151250608E+000, +0.00000000000E+000
+7.36000000000E+007, -3.02522960910E+000, +0.00000000000E+000
+7.40000000000E+007, -3.09084694765E+000, +0.00000000000E+000
+7.44000000000E+007, -3.17041970800E+000, +0.00000000000E+000
+7.48000000000E+007, -3.23236227070E+000, +0.00000000000E+000
+7.52000000000E+007, -3.30159235137E+000, +0.00000000000E+000
+7.56000000000E+007, -3.34427962402E+000, +0.00000000000E+000
+7.60000000000E+007, -3.45568617210E+000, +0.00000000000E+000
+7.64000000000E+007, -3.50525706220E+000, +0.00000000000E+000
+7.68000000000E+007, -3.60454477041E+000, +0.00000000000E+000
+7.72000000000E+007, -3.68124482383E+000, +0.00000000000E+000
+7.76000000000E+007, -3.77031589178E+000, +0.00000000000E+000
+7.80000000000E+007, -3.85144889564E+000, +0.00000000000E+000
+7.84000000000E+007, -3.93957826552E+000, +0.00000000000E+000
+7.88000000000E+007, -4.02927188375E+000, +0.00000000000E+000
+7.92000000000E+007, -4.11450398639E+000, +0.00000000000E+000
+7.96000000000E+007, -4.28830040033E+000, +0.00000000000E+000
+8.00000000000E+007, -4.36822269219E+000, +0.00000000000E+000
+8.04000000000E+007, -4.52472991659E+000, +0.00000000000E+000
+8.08000000000E+007, -4.64919177629E+000, +0.00000000000E+000
+8.12000000000E+007, -4.76358886182E+000, +0.00000000000E+000
+8.16000000000E+007, -4.89583007052E+000, +0.00000000000E+000
+8.20000000000E+007, -5.05881219475E+000, +0.00000000000E+000
+8.24000000000E+007, -5.19465775684E+000, +0.00000000000E+000
+8.28000000000E+007, -5.34005155043E+000, +0.00000000000E+000
+8.32000000000E+007, -5.53531555340E+000, +0.00000000000E+000
+8.36000000000E+007, -5.65005337061E+000, +0.00000000000E+000
+8.40000000000E+007, -5.82896091289E+000, +0.00000000000E+000
+8.44000000000E+007, -5.97563426758E+000, +0.00000000000E+000
+8.48000000000E+007, -6.16734822552E+000, +0.00000000000E+000
+8.52000000000E+007, -6.32786110927E+000, +0.00000000000E+000
+8.56000000000E+007, -6.50254942855E+000, +0.00000000000E+000
+8.60000000000E+007, -6.66963188697E+000, +0.00000000000E+000
+8.64000000000E+007, -6.87226195554E+000, +0.00000000000E+000
+8.68000000000E+007, -7.08117654887E+000, +0.00000000000E+000
+8.72000000000E+007, -7.21643448476E+000, +0.00000000000E+000
+8.76000000000E+007, -7.40018663799E+000, +0.00000000000E+000
+8.80000000000E+007, -7.56984018637E+000, +0.00000000000E+000
+8.84000000000E+007, -7.78916273125E+000, +0.00000000000E+000
+8.88000000000E+007, -7.97019973185E+000, +0.00000000000E+000
+8.92000000000E+007, -8.12829213951E+000, +0.00000000000E+000
+8.96000000000E+007, -8.29796737739E+000, +0.00000000000E+000
+9.00000000000E+007, -8.46774343794E+000, +0.00000000000E+000
+9.04000000000E+007, -8.63029125036E+000, +0.00000000000E+000
+9.08000000000E+007, -8.75616465543E+000, +0.00000000000E+000
+9.12000000000E+007, -8.94078003425E+000, +0.00000000000E+000
+9.16000000000E+007, -9.03629292238E+000, +0.00000000000E+000
+9.20000000000E+007, -9.18499734247E+000, +0.00000000000E+000
+9.24000000000E+007, -9.31571218124E+000, +0.00000000000E+000
+9.28000000000E+007, -9.40591180000E+000, +0.00000000000E+000
+9.32000000000E+007, -9.48793109369E+000, +0.00000000000E+000
+9.36000000000E+007, -9.55942545293E+000, +0.00000000000E+000
+9.40000000000E+007, -9.66293268620E+000, +0.00000000000E+000
+9.44000000000E+007, -9.66445935585E+000, +0.00000000000E+000
+9.48000000000E+007, -9.75901456798E+000, +0.00000000000E+000
+9.52000000000E+007, -9.76557932675E+000, +0.00000000000E+000
+9.56000000000E+007, -9.80383825601E+000, +0.00000000000E+000
+9.60000000000E+007, -9.80624718343E+000, +0.00000000000E+000
+9.64000000000E+007, -9.81723102974E+000, +0.00000000000E+000
+9.68000000000E+007, -9.84147247441E+000, +0.00000000000E+000
+9.72000000000E+007, -9.80406387256E+000, +0.00000000000E+000
+9.76000000000E+007, -9.83245364770E+000, +0.00000000000E+000
+9.80000000000E+007, -9.77732467371E+000, +0.00000000000E+000
+9.84000000000E+007, -9.78328343140E+000, +0.00000000000E+000
+9.88000000000E+007, -9.72719790452E+000, +0.00000000000E+000
+9.92000000000E+007, -9.73908992670E+000, +0.00000000000E+000
+9.96000000000E+007, -9.73489479361E+000, +0.00000000000E+000
+1.00000000000E+008, -9.70347743706E+000, +0.00000000000E+000
+1.00400000000E+008, -9.67660467242E+000, +0.00000000000E+000
+1.00800000000E+008, -9.61567461848E+000, +0.00000000000E+000
+1.01200000000E+008, -9.58808516988E+000, +0.00000000000E+000
+1.01600000000E+008, -9.57260844611E+000, +0.00000000000E+000
+1.02000000000E+008, -9.55856589718E+000, +0.00000000000E+000
+1.02400000000E+008, -9.48276537081E+000, +0.00000000000E+000
+1.02800000000E+008, -9.49617331881E+000, +0.00000000000E+000
+1.03200000000E+008, -9.45438028189E+000, +0.00000000000E+000
+1.03600000000E+008, -9.43307423699E+000, +0.00000000000E+000
+1.04000000000E+008, -9.38162351739E+000, +0.00000000000E+000
+1.04400000000E+008, -9.33421772668E+000, +0.00000000000E+000
+1.04800000000E+008, -9.31999859370E+000, +0.00000000000E+000
+1.05200000000E+008, -9.24848351218E+000, +0.00000000000E+000
+1.05600000000E+008, -9.22305347727E+000, +0.00000000000E+000
+1.06000000000E+008, -9.14114537610E+000, +0.00000000000E+000
+1.06400000000E+008, -9.13252424746E+000, +0.00000000000E+000
+1.06800000000E+008, -9.06914540266E+000, +0.00000000000E+000
+1.07200000000E+008, -9.00801001870E+000, +0.00000000000E+000
+1.07600000000E+008, -8.94012349961E+000, +0.00000000000E+000
+1.08000000000E+008, -8.88024223063E+000, +0.00000000000E+000
+1.08400000000E+008, -8.81282312026E+000, +0.00000000000E+000
+1.08800000000E+008, -8.71140338159E+000, +0.00000000000E+000
+1.09200000000E+008, -8.63312932348E+000, +0.00000000000E+000
+1.09600000000E+008, -8.54323354561E+000, +0.00000000000E+000
+1.10000000000E+008, -8.45331669265E+000, +0.00000000000E+000
+1.10400000000E+008, -8.33470623557E+000, +0.00000000000E+000
+1.10800000000E+008, -8.25533932786E+000, +0.00000000000E+000
+1.11200000000E+008, -8.13069052219E+000, +0.00000000000E+000
+1.11600000000E+008, -8.00461490444E+000, +0.00000000000E+000
+1.12000000000E+008, -7.88898136235E+000, +0.00000000000E+000
+1.12400000000E+008, -7.75354064681E+000, +0.00000000000E+000
+1.12800000000E+008, -7.62433659078E+000, +0.00000000000E+000
+1.13200000000E+008, -7.46947565093E+000, +0.00000000000E+000
+1.13600000000E+008, -7.32467376045E+000, +0.00000000000E+000
+1.14000000000E+008, -7.17982767455E+000, +0.00000000000E+000
+1.14400000000E+008, -7.04273882970E+000, +0.00000000000E+000
+1.14800000000E+008, -6.87882243335E+000, +0.00000000000E+000
+1.15200000000E+008, -6.73886044026E+000, +0.00000000000E+000
+1.15600000000E+008, -6.59091565031E+000, +0.00000000000E+000
+1.16000000000E+008, -6.42670486427E+000, +0.00000000000E+000
+1.16400000000E+008, -6.28306016173E+000, +0.00000000000E+000
+1.16800000000E+008, -6.12894590340E+000, +0.00000000000E+000
+1.17200000000E+008, -5.97671216608E+000, +0.00000000000E+000
+1.17600000000E+008, -5.82428645630E+000, +0.00000000000E+000
+1.18000000000E+008, -5.67958069582E+000, +0.00000000000E+000
+1.18400000000E+008, -5.53338703880E+000, +0.00000000000E+000
+1.18800000000E+008, -5.38944317539E+000, +0.00000000000E+000
+1.19200000000E+008, -5.25024267186E+000, +0.00000000000E+000
+1.19600000000E+008, -5.10731925837E+000, +0.00000000000E+000
+1.20000000000E+008, -4.96633834178E+000, +0.00000000000E+000
+1.20400000000E+008, -4.83471575173E+000, +0.00000000000E+000
+1.20800000000E+008, -4.70404859029E+000, +0.00000000000E+000
+1.21200000000E+008, -4.57315253619E+000, +0.00000000000E+000
+1.21600000000E+008, -4.45048229406E+000, +0.00000000000E+000
+1.22000000000E+008, -4.32715446379E+000, +0.00000000000E+000
+1.22400000000E+008, -4.20870478724E+000, +0.00000000000E+000
+1.22800000000E+008, -4.09134117976E+000, +0.00000000000E+000
+1.23200000000E+008, -3.98077359548E+000, +0.00000000000E+000
+1.23600000000E+008, -3.87127575246E+000, +0.00000000000E+000
+1.24000000000E+008, -3.76311689948E+000, +0.00000000000E+000
+1.24400000000E+008, -3.65914958092E+000, +0.00000000000E+000
+1.24800000000E+008, -3.56068186980E+000, +0.00000000000E+000
+1.25200000000E+008, -3.46376837406E+000, +0.00000000000E+000
+1.25600000000E+008, -3.37183922270E+000, +0.00000000000E+000
+1.26000000000E+008, -3.28192979770E+000, +0.00000000000E+000
+1.26400000000E+008, -3.19490927287E+000, +0.00000000000E+000
+1.26800000000E+008, -3.11227126732E+000, +0.00000000000E+000
+1.27200000000E+008, -3.03244919133E+000, +0.00000000000E+000
+1.27600000000E+008, -2.95562375544E+000, +0.00000000000E+000
+1.28000000000E+008, -2.88199646826E+000, +0.00000000000E+000
+1.28400000000E+008, -2.80911590410E+000, +0.00000000000E+000
+1.28800000000E+008, -2.73989181984E+000, +0.00000000000E+000
+1.29200000000E+008, -2.67516530033E+000, +0.00000000000E+000
+1.29600000000E+008, -2.61214168646E+000, +0.00000000000E+000
+1.30000000000E+008, -2.55119572947E+000, +0.00000000000E+000
+1.30400000000E+008, -2.49256701365E+000, +0.00000000000E+000
+1.30800000000E+008, -2.43549925442E+000, +0.00000000000E+000
+1.31200000000E+008, -2.38234736563E+000, +0.00000000000E+000
+1.31600000000E+008, -2.32975508386E+000, +0.00000000000E+000
+1.32000000000E+008, -2.27943479414E+000, +0.00000000000E+000
+1.32400000000E+008, -2.23297670138E+000, +0.00000000000E+000
+1.32800000000E+008, -2.18654409302E+000, +0.00000000000E+000
+1.33200000000E+008, -2.14264381906E+000, +0.00000000000E+000
+1.33600000000E+008, -2.10076855036E+000, +0.00000000000E+000
+1.34000000000E+008, -2.06034561529E+000, +0.00000000000E+000
+1.34400000000E+008, -2.02163297463E+000, +0.00000000000E+000
+1.34800000000E+008, -1.98489796458E+000, +0.00000000000E+000
+1.35200000000E+008, -1.94910775582E+000, +0.00000000000E+000
+1.35600000000E+008, -1.91515343366E+000, +0.00000000000E+000
+1.36000000000E+008, -1.88244730840E+000, +0.00000000000E+000
+1.36400000000E+008, -1.85167633207E+000, +0.00000000000E+000
+1.36800000000E+008, -1.82045449760E+000, +0.00000000000E+000
+1.37200000000E+008, -1.79180023093E+000, +0.00000000000E+000
+1.37600000000E+008, -1.76534428923E+000, +0.00000000000E+000
+1.38000000000E+008, -1.73807027698E+000, +0.00000000000E+000
+1.38400000000E+008, -1.71273794188E+000, +0.00000000000E+000
+1.38800000000E+008, -1.68884960370E+000, +0.00000000000E+000
+1.39200000000E+008, -1.66507727221E+000, +0.00000000000E+000
+1.39600000000E+008, -1.64249398671E+000, +0.00000000000E+000
+1.40000000000E+008, -1.61951178383E+000, +0.00000000000E+000
