"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.00000000000E+007, -4.54427247897E-002, +0.00000000000E+000
+6.04000000000E+007, -1.50465037154E-001, +0.00000000000E+000
+6.08000000000E+007, -3.04702864453E-001, +0.00000000000E+000
+6.12000000000E+007, -4.90545834316E-001, +0.00000000000E+000
+6.16000000000E+007, -7.25601074970E-001, +0.00000000000E+000
+6.20000000000E+007, -9.90031949704E-001, +0.00000000000E+000
+6.24000000000E+007, -1.24710743100E+000, +0.00000000000E+000
+6.28000000000E+007, -1.54658072892E+000, +0.00000000000E+000
+6.32000000000E+007, -1.80572664670E+000, +0.00000000000E+000
+6.36000000000E+007, -2.11241129648E+000, +0.00000000000E+000
+6.40000000000E+007, -2.37222915728E+000, +0.00000000000E+000
+6.44000000000E+007, -2.66154746011E+000, +0.00000000000E+000
+6.48000000000E+007, -2.87989486287E+000, +0.00000000000E+000
+6.52000000000E+007, -3.12071318360E+000, +0.00000000000E+000
+6.56000000000E+007, -3.32051467134E+000, +0.00000000000E+000
+6.60000000000E+007, -3.51914895849E+000, +0.00000000000E+000
+6.64000000000E+007, -3.68328704463E+000, +0.00000000000E+000
+6.68000000000E+007, -4.19604106150E+000, +0.00000000000E+000
+6.72000000000E+007, -3.96782259068E+000, +0.00000000000E+000
+6.76000000000E+007, -4.06940719154E+000, +0.00000000000E+000
+6.80000000000E+007, -4.16888793883E+000, +0.00000000000E+000
+6.84000000000E+007, -4.20844751912E+000, +0.00000000000E+000
+6.88000000000E+007, -4.26500998061E+000, +0.00000000000E+000
+6.92000000000E+007, -4.26292114923E+000, +0.00000000000E+000
+6.96000000000E+007, -4.27473805345E+000, +0.00000000000E+000
+7.00000000000E+007, -4.22886024540E+000, +0.00000000000E+000
+7.04000000000E+007, -4.20245024870E+000, +0.00000000000E+000
+7.08000000000E+007, -4.13630293174E+000, +0.00000000000E+000
+7.12000000000E+007, -4.06691696512E+000, +0.00000000000E+000
+7.16000000000E+007, -3.97671972985E+000, +0.00000000000E+000
+7.20000000000E+007, -3.85475946632E+000, +0.00000000000E+000
+7.24000000000E+007, -3.75125376498E+000, +0.00000000000E+000
+7.28000000000E+007, -3.63021916780E+000, +0.00000000000E+000
+7.32000000000E+007, -3.50237072832E+000, +0.00000000000E+000
+7.36000000000E+007, -3.35693406760E+000, +0.00000000000E+000
+7.40000000000E+007, -3.28506351046E+000, +0.00000000000E+000
+7.44000000000E+007, -3.15733625919E+000, +0.00000000000E+000
+7.48000000000E+007, -3.06626705502E+000, +0.00000000000E+000
+7.52000000000E+007, -3.03279786473E+000, +0.00000000000E+000
+7.56000000000E+007, -3.02819516623E+000, +0.00000000000E+000
+7.60000000000E+007, -3.02057575595E+000, +0.00000000000E+000
+7.64000000000E+007, -3.04736542538E+000, +0.00000000000E+000
+7.68000000000E+007, -3.15586501832E+000, +0.00000000000E+000
+7.72000000000E+007, -3.29799880230E+000, +0.00000000000E+000
+7.76000000000E+007, -3.47673292726E+000, +0.00000000000E+000
+7.80000000000E+007, -3.65571278605E+000, +0.00000000000E+000
+7.84000000000E+007, -3.90850085379E+000, +0.00000000000E+000
+7.88000000000E+007, -4.12099920187E+000, +0.00000000000E+000
+7.92000000000E+007, -4.39100580525E+000, +0.00000000000E+000
+7.96000000000E+007, -4.66020509366E+000, +0.00000000000E+000
+8.00000000000E+007, -4.89572011686E+000, +0.00000000000E+000
+8.04000000000E+007, -5.18843308282E+000, +0.00000000000E+000
+8.08000000000E+007, -5.44412884173E+000, +0.00000000000E+000
+8.12000000000E+007, -5.68419008153E+000, +0.00000000000E+000
+8.16000000000E+007, -5.88966250928E+000, +0.00000000000E+000
+8.20000000000E+007, -6.07426922890E+000, +0.00000000000E+000
+8.24000000000E+007, -6.27111020100E+000, +0.00000000000E+000
+8.28000000000E+007, -6.42451654387E+000, +0.00000000000E+000
+8.32000000000E+007, -6.51566506506E+000, +0.00000000000E+000
+8.36000000000E+007, -6.57881383517E+000, +0.00000000000E+000
+8.40000000000E+007, -6.65705682510E+000, +0.00000000000E+000
+8.44000000000E+007, -6.67302604175E+000, +0.00000000000E+000
+8.48000000000E+007, -6.63371913033E+000, +0.00000000000E+000
+8.52000000000E+007, -6.57844522522E+000, +0.00000000000E+000
+8.56000000000E+007, -6.49528607295E+000, +0.00000000000E+000
+8.60000000000E+007, -6.38631819827E+000, +0.00000000000E+000
+8.64000000000E+007, -6.26258107128E+000, +0.00000000000E+000
+8.68000000000E+007, -6.04291466550E+000, +0.00000000000E+000
+8.72000000000E+007, -5.83788495666E+000, +0.00000000000E+000
+8.76000000000E+007, -5.67869675973E+000, +0.00000000000E+000
+8.80000000000E+007, -5.43475714707E+000, +0.00000000000E+000
+8.84000000000E+007, -5.17332157931E+000, +0.00000000000E+000
+8.88000000000E+007, -4.94396872619E+000, +0.00000000000E+000
+8.92000000000E+007, -4.71103758087E+000, +0.00000000000E+000
+8.96000000000E+007, -4.46451408533E+000, +0.00000000000E+000
+9.00000000000E+007, -4.21971673457E+000, +0.00000000000E+000
+9.04000000000E+007, -4.00091466194E+000, +0.00000000000E+000
+9.08000000000E+007, -3.83818109895E+000, +0.00000000000E+000
+9.12000000000E+007, -3.71751607538E+000, +0.00000000000E+000
+9.16000000000E+007, -3.56675930432E+000, +0.00000000000E+000
+9.20000000000E+007, -3.50960864748E+000, +0.00000000000E+000
+9.24000000000E+007, -3.45630262644E+000, +0.00000000000E+000
+9.28000000000E+007, -3.40422395331E+000, +0.00000000000E+000
+9.32000000000E+007, -3.37552141670E+000, +0.00000000000E+000
+9.36000000000E+007, -3.44554399834E+000, +0.00000000000E+000
+9.40000000000E+007, -3.46746760953E+000, +0.00000000000E+000
+9.44000000000E+007, -3.49073979990E+000, +0.00000000000E+000
+9.48000000000E+007, -3.54864279361E+000, +0.00000000000E+000
+9.52000000000E+007, -3.62511884080E+000, +0.00000000000E+000
+9.56000000000E+007, -3.66035520816E+000, +0.00000000000E+000
+9.60000000000E+007, -3.72089369418E+000, +0.00000000000E+000
+9.64000000000E+007, -3.77619705298E+000, +0.00000000000E+000
+9.68000000000E+007, -3.79829810252E+000, +0.00000000000E+000
+9.72000000000E+007, -3.84485470388E+000, +0.00000000000E+000
+9.76000000000E+007, -3.88160797158E+000, +0.00000000000E+000
+9.80000000000E+007, -3.91438583282E+000, +0.00000000000E+000
+9.84000000000E+007, -3.89397383836E+000, +0.00000000000E+000
+9.88000000000E+007, -3.90033592136E+000, +0.00000000000E+000
+9.92000000000E+007, -3.88525226720E+000, +0.00000000000E+000
+9.96000000000E+007, -3.86723902177E+000, +0.00000000000E+000
+1.00000000000E+008, -3.83736715814E+000, +0.00000000000E+000
+1.00400000000E+008, -3.79899468955E+000, +0.00000000000E+000
+1.00800000000E+008, -3.74350729658E+000, +0.00000000000E+000
+1.01200000000E+008, -3.67945813601E+000, +0.00000000000E+000
+1.01600000000E+008, -3.62636120291E+000, +0.00000000000E+000
+1.02000000000E+008, -3.55245653492E+000, +0.00000000000E+000
+1.02400000000E+008, -3.48348151088E+000, +0.00000000000E+000
+1.02800000000E+008, -3.38287353169E+000, +0.00000000000E+000
+1.03200000000E+008, -3.33724568538E+000, +0.00000000000E+000
+1.03600000000E+008, -3.26501094871E+000, +0.00000000000E+000
+1.04000000000E+008, -3.19720816764E+000, +0.00000000000E+000
+1.04400000000E+008, -3.12426533711E+000, +0.00000000000E+000
+1.04800000000E+008, -3.11114619323E+000, +0.00000000000E+000
+1.05200000000E+008, -3.09255259305E+000, +0.00000000000E+000
+1.05600000000E+008, -3.11356512596E+000, +0.00000000000E+000
+1.06000000000E+008, -3.15131884039E+000, +0.00000000000E+000
+1.06400000000E+008, -3.18823294067E+000, +0.00000000000E+000
+1.06800000000E+008, -3.29810545474E+000, +0.00000000000E+000
+1.07200000000E+008, -3.39867245376E+000, +0.00000000000E+000
+1.07600000000E+008, -3.55311029340E+000, +0.00000000000E+000
+1.08000000000E+008, -3.67148388094E+000, +0.00000000000E+000
+1.08400000000E+008, -3.84747846160E+000, +0.00000000000E+000
+1.08800000000E+008, -3.99751370836E+000, +0.00000000000E+000
+1.09200000000E+008, -4.18224012246E+000, +0.00000000000E+000
+1.09600000000E+008, -4.32707589104E+000, +0.00000000000E+000
+1.10000000000E+008, -4.49218502877E+000, +0.00000000000E+000
+1.10400000000E+008, -4.61629760622E+000, +0.00000000000E+000
+1.10800000000E+008, -4.69868531610E+000, +0.00000000000E+000
+1.11200000000E+008, -4.77885699986E+000, +0.00000000000E+000
+1.11600000000E+008, -4.80090839914E+000, +0.00000000000E+000
+1.12000000000E+008, -4.80323462050E+000, +0.00000000000E+000
+1.12400000000E+008, -4.72717664973E+000, +0.00000000000E+000
+1.12800000000E+008, -4.65468327859E+000, +0.00000000000E+000
+1.13200000000E+008, -4.51578995609E+000, +0.00000000000E+000
+1.13600000000E+008, -4.35926314806E+000, +0.00000000000E+000
+1.14000000000E+008, -4.16496055786E+000, +0.00000000000E+000
+1.14400000000E+008, -3.93579950781E+000, +0.00000000000E+000
+1.14800000000E+008, -3.67799305693E+000, +0.00000000000E+000
+1.15200000000E+008, -3.39222743409E+000, +0.00000000000E+000
+1.15600000000E+008, -3.09992119900E+000, +0.00000000000E+000
+1.16000000000E+008, -2.76833562218E+000, +0.00000000000E+000
+1.16400000000E+008, -2.43870072575E+000, +0.00000000000E+000
+1.16800000000E+008, -2.08123642164E+000, +0.00000000000E+000
+1.17200000000E+008, -1.73500647193E+000, +0.00000000000E+000
+1.17600000000E+008, -1.35690339844E+000, +0.00000000000E+000
+1.18000000000E+008, -9.85803186051E-001, +0.00000000000E+000
+1.18400000000E+008, -6.17837654557E-001, +0.00000000000E+000
+1.18800000000E+008, -2.61266259128E-001, +0.00000000000E+000
+1.19200000000E+008, +8.05666608215E-002, +0.00000000000E+000
+1.19600000000E+008, +4.23835204007E-001, +0.00000000000E+000
+1.20000000000E+008, +7.32959604384E-001, +0.00000000000E+000
+1.20400000000E+008, +1.03087536370E+000, +0.00000000000E+000
+1.20800000000E+008, +1.28835183977E+000, +0.00000000000E+000
+1.21200000000E+008, +1.53094904807E+000, +0.00000000000E+000
+1.21600000000E+008, +1.73209692851E+000, +0.00000000000E+000
+1.22000000000E+008, +1.90393797482E+000, +0.00000000000E+000
+1.22400000000E+008, +2.04168563965E+000, +0.00000000000E+000
+1.22800000000E+008, +2.14578851409E+000, +0.00000000000E+000
+1.23200000000E+008, +2.22523519975E+000, +0.00000000000E+000
+1.23600000000E+008, +2.26631800117E+000, +0.00000000000E+000
