"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.00000000000E+007, -1.77372430963E+000, +0.00000000000E+000
+6.04000000000E+007, -1.57863968456E+000, +0.00000000000E+000
+6.08000000000E+007, -1.36525105338E+000, +0.00000000000E+000
+6.12000000000E+007, -1.17023711191E+000, +0.00000000000E+000
+6.16000000000E+007, -9.21568211090E-001, +0.00000000000E+000
+6.20000000000E+007, -6.97917903326E-001, +0.00000000000E+000
+6.24000000000E+007, -4.53479737801E-001, +0.00000000000E+000
+6.28000000000E+007, -2.18693646270E-001, +0.00000000000E+000
+6.32000000000E+007, +2.56916720270E-002, +0.00000000000E+000
+6.36000000000E+007, +2.65501366042E-001, +0.00000000000E+000
+6.40000000000E+007, +5.03725255951E-001, +0.00000000000E+000
+6.44000000000E+007, +7.33827278658E-001, +0.00000000000E+000
+6.48000000000E+007, +9.50800812830E-001, +0.00000000000E+000
+6.52000000000E+007, +1.15520891425E+000, +0.00000000000E+000
+6.56000000000E+007, +1.34312128138E+000, +0.00000000000E+000
+6.60000000000E+007, +1.51584034832E+000, +0.00000000000E+000
+6.64000000000E+007, +1.66366043376E+000, +0.00000000000E+000
+6.68000000000E+007, +1.79337240593E+000, +0.00000000000E+000
+6.72000000000E+007, +1.87839305744E+000, +0.00000000000E+000
+6.76000000000E+007, +1.95071707791E+000, +0.00000000000E+000
+6.80000000000E+007, +1.97909920083E+000, +0.00000000000E+000
+6.84000000000E+007, +2.00894215451E+000, +0.00000000000E+000
+6.88000000000E+007, +1.97749246289E+000, +0.00000000000E+000
+6.92000000000E+007, +1.93994197773E+000, +0.00000000000E+000
+6.96000000000E+007, +1.87297705385E+000, +0.00000000000E+000
+7.00000000000E+007, +1.79981664585E+000, +0.00000000000E+000
+7.04000000000E+007, +1.69254083288E+000, +0.00000000000E+000
+7.08000000000E+007, +1.57559183669E+000, +0.00000000000E+000
+7.12000000000E+007, +1.44406340819E+000, +0.00000000000E+000
+7.16000000000E+007, +1.31436213936E+000, +0.00000000000E+000
+7.20000000000E+007, +1.17524111746E+000, +0.00000000000E+000
+7.24000000000E+007, +1.03239679867E+000, +0.00000000000E+000
+7.28000000000E+007, +8.96987350573E-001, +0.00000000000E+000
+7.32000000000E+007, +7.59226154415E-001, +0.00000000000E+000
+7.36000000000E+007, +6.32067533582E-001, +0.00000000000E+000
+7.40000000000E+007, +5.06552064940E-001, +0.00000000000E+000
+7.44000000000E+007, +3.98272630096E-001, +0.00000000000E+000
+7.48000000000E+007, +2.93901478193E-001, +0.00000000000E+000
+7.52000000000E+007, +2.11361808202E-001, +0.00000000000E+000
+7.56000000000E+007, +1.33721344315E-001, +0.00000000000E+000
+7.60000000000E+007, +7.48668131422E-002, +0.00000000000E+000
+7.64000000000E+007, +2.18711852253E-002, +0.00000000000E+000
+7.68000000000E+007, -1.49204894321E-002, +0.00000000000E+000
+7.72000000000E+007, -3.09376155640E-002, +0.00000000000E+000
+7.76000000000E+007, -3.95892606538E-002, +0.00000000000E+000
+7.80000000000E+007, -3.02128813321E-002, +0.00000000000E+000
+7.84000000000E+007, -8.81806643639E-003, +0.00000000000E+000
+7.88000000000E+007, +3.28432840667E-002, +0.00000000000E+000
+7.92000000000E+007, +8.53237059811E-002, +0.00000000000E+000
+7.96000000000E+007, +1.90378099938E-001, +0.00000000000E+000
+8.00000000000E+007, +2.49546445654E-001, +0.00000000000E+000
+8.04000000000E+007, +3.59547503966E-001, +0.00000000000E+000
+8.08000000000E+007, +4.80023947238E-001, +0.00000000000E+000
+8.12000000000E+007, +6.06461027084E-001, +0.00000000000E+000
+8.16000000000E+007, +7.55969108037E-001, +0.00000000000E+000
+8.20000000000E+007, +9.15803370723E-001, +0.00000000000E+000
+8.24000000000E+007, +1.08213919377E+000, +0.00000000000E+000
+8.28000000000E+007, +1.26675836208E+000, +0.00000000000E+000
+8.32000000000E+007, +1.45836474612E+000, +0.00000000000E+000
+8.36000000000E+007, +1.65508996820E+000, +0.00000000000E+000
+8.40000000000E+007, +1.85696339767E+000, +0.00000000000E+000
+8.44000000000E+007, +2.05691256190E+000, +0.00000000000E+000
+8.48000000000E+007, +2.24722216471E+000, +0.00000000000E+000
+8.52000000000E+007, +2.42579102702E+000, +0.00000000000E+000
+8.56000000000E+007, +2.59267189401E+000, +0.00000000000E+000
+8.60000000000E+007, +2.74540425253E+000, +0.00000000000E+000
+8.64000000000E+007, +2.88236119986E+000, +0.00000000000E+000
+8.68000000000E+007, +2.98325397214E+000, +0.00000000000E+000
+8.72000000000E+007, +3.06633104133E+000, +0.00000000000E+000
+8.76000000000E+007, +3.11825206690E+000, +0.00000000000E+000
+8.80000000000E+007, +3.14877724498E+000, +0.00000000000E+000
+8.84000000000E+007, +3.14345755768E+000, +0.00000000000E+000
+8.88000000000E+007, +3.11494856218E+000, +0.00000000000E+000
+8.92000000000E+007, +3.06066455015E+000, +0.00000000000E+000
+8.96000000000E+007, +2.99083932107E+000, +0.00000000000E+000
+9.00000000000E+007, +2.90099987118E+000, +0.00000000000E+000
+9.04000000000E+007, +2.81012615382E+000, +0.00000000000E+000
+9.08000000000E+007, +2.70505712747E+000, +0.00000000000E+000
+9.12000000000E+007, +2.60027395554E+000, +0.00000000000E+000
+9.16000000000E+007, +2.49869758696E+000, +0.00000000000E+000
+9.20000000000E+007, +2.40166796245E+000, +0.00000000000E+000
+9.24000000000E+007, +2.31414016175E+000, +0.00000000000E+000
+9.28000000000E+007, +2.23970379060E+000, +0.00000000000E+000
+9.32000000000E+007, +2.18109382424E+000, +0.00000000000E+000
+9.36000000000E+007, +2.12737436297E+000, +0.00000000000E+000
+9.40000000000E+007, +2.10921720248E+000, +0.00000000000E+000
+9.44000000000E+007, +2.09061880115E+000, +0.00000000000E+000
+9.48000000000E+007, +2.09513856799E+000, +0.00000000000E+000
+9.52000000000E+007, +2.12192860793E+000, +0.00000000000E+000
+9.56000000000E+007, +2.15673702301E+000, +0.00000000000E+000
+9.60000000000E+007, +2.21714492024E+000, +0.00000000000E+000
+9.64000000000E+007, +2.28984020236E+000, +0.00000000000E+000
+9.68000000000E+007, +2.37786707986E+000, +0.00000000000E+000
+9.72000000000E+007, +2.48588992480E+000, +0.00000000000E+000
+9.76000000000E+007, +2.59894800445E+000, +0.00000000000E+000
+9.80000000000E+007, +2.73043108014E+000, +0.00000000000E+000
+9.84000000000E+007, +2.86803487034E+000, +0.00000000000E+000
+9.88000000000E+007, +3.00999661634E+000, +0.00000000000E+000
+9.92000000000E+007, +3.16689670654E+000, +0.00000000000E+000
+9.96000000000E+007, +3.31957983721E+000, +0.00000000000E+000
+1.00000000000E+008, +3.46969288640E+000, +0.00000000000E+000
+1.00400000000E+008, +3.61208000577E+000, +0.00000000000E+000
+1.00800000000E+008, +3.75108672706E+000, +0.00000000000E+000
+1.01200000000E+008, +3.88348074602E+000, +0.00000000000E+000
+1.01600000000E+008, +3.99172476950E+000, +0.00000000000E+000
+1.02000000000E+008, +4.08381038358E+000, +0.00000000000E+000
+1.02400000000E+008, +4.16174236579E+000, +0.00000000000E+000
+1.02800000000E+008, +4.21516409009E+000, +0.00000000000E+000
+1.03200000000E+008, +4.24730264965E+000, +0.00000000000E+000
+1.03600000000E+008, +4.25515272642E+000, +0.00000000000E+000
+1.04000000000E+008, +4.26260990638E+000, +0.00000000000E+000
+1.04400000000E+008, +4.20103756170E+000, +0.00000000000E+000
+1.04800000000E+008, +4.16575081274E+000, +0.00000000000E+000
+1.05200000000E+008, +4.10489210306E+000, +0.00000000000E+000
+1.05600000000E+008, +4.02522947328E+000, +0.00000000000E+000
+1.06000000000E+008, +3.93912645738E+000, +0.00000000000E+000
+1.06400000000E+008, +3.84178661207E+000, +0.00000000000E+000
+1.06800000000E+008, +3.74479467581E+000, +0.00000000000E+000
+1.07200000000E+008, +3.65490005893E+000, +0.00000000000E+000
+1.07600000000E+008, +3.56988974192E+000, +0.00000000000E+000
