"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.00000000000E+007, -3.04287652533E+000, +0.00000000000E+000
+6.04000000000E+007, -2.82758464659E+000, +0.00000000000E+000
+6.08000000000E+007, -2.65337918724E+000, +0.00000000000E+000
+6.12000000000E+007, -2.36892439953E+000, +0.00000000000E+000
+6.16000000000E+007, -2.21947186046E+000, +0.00000000000E+000
+6.20000000000E+007, -2.00164352077E+000, +0.00000000000E+000
+6.24000000000E+007, -1.75325075394E+000, +0.00000000000E+000
+6.28000000000E+007, -1.55804650077E+000, +0.00000000000E+000
+6.32000000000E+007, -1.29788867732E+000, +0.00000000000E+000
+6.36000000000E+007, -1.10961663241E+000, +0.00000000000E+000
+6.40000000000E+007, -8.84969884664E-001, +0.00000000000E+000
+6.44000000000E+007, -6.89576602133E-001, +0.00000000000E+000
+6.48000000000E+007, -4.66842221858E-001, +0.00000000000E+000
+6.52000000000E+007, -2.99416654237E-001, +0.00000000000E+000
+6.56000000000E+007, -1.30479605097E-001, +0.00000000000E+000
+6.60000000000E+007, +2.29584269491E-002, +0.00000000000E+000
+6.64000000000E+007, +1.28360041867E-001, +0.00000000000E+000
+6.68000000000E+007, +6.66244344420E-001, +0.00000000000E+000
+6.72000000000E+007, +2.63806795515E-001, +0.00000000000E+000
+6.76000000000E+007, +3.17528920759E-001, +0.00000000000E+000
+6.80000000000E+007, +2.98127458233E-001, +0.00000000000E+000
+6.84000000000E+007, +2.99982196778E-001, +0.00000000000E+000
+6.88000000000E+007, +2.09470784858E-001, +0.00000000000E+000
+6.92000000000E+007, +1.49812762696E-001, +0.00000000000E+000
+6.96000000000E+007, +1.69496077362E-002, +0.00000000000E+000
+7.00000000000E+007, -9.85414680108E-002, +0.00000000000E+000
+7.04000000000E+007, -2.42272462161E-001, +0.00000000000E+000
+7.08000000000E+007, -4.29514276185E-001, +0.00000000000E+000
+7.12000000000E+007, -6.03329390503E-001, +0.00000000000E+000
+7.16000000000E+007, -8.23351578648E-001, +0.00000000000E+000
+7.20000000000E+007, -1.00664979290E+000, +0.00000000000E+000
+7.24000000000E+007, -1.23511398621E+000, +0.00000000000E+000
+7.28000000000E+007, -1.41134597694E+000, +0.00000000000E+000
+7.32000000000E+007, -1.64448455904E+000, +0.00000000000E+000
+7.36000000000E+007, -1.84259463400E+000, +0.00000000000E+000
+7.40000000000E+007, -2.04491976366E+000, +0.00000000000E+000
+7.44000000000E+007, -2.25397659765E+000, +0.00000000000E+000
+7.48000000000E+007, -2.43557257854E+000, +0.00000000000E+000
+7.52000000000E+007, -2.60733882257E+000, +0.00000000000E+000
+7.56000000000E+007, -2.74921635834E+000, +0.00000000000E+000
+7.60000000000E+007, -2.93806800600E+000, +0.00000000000E+000
+7.64000000000E+007, -3.05487514639E+000, +0.00000000000E+000
+7.68000000000E+007, -3.20284130783E+000, +0.00000000000E+000
+7.72000000000E+007, -3.31911813126E+000, +0.00000000000E+000
+7.76000000000E+007, -3.43095448555E+000, +0.00000000000E+000
+7.80000000000E+007, -3.51771067226E+000, +0.00000000000E+000
+7.84000000000E+007, -3.60312224298E+000, +0.00000000000E+000
+7.88000000000E+007, -3.67423919096E+000, +0.00000000000E+000
+7.92000000000E+007, -3.72655975219E+000, +0.00000000000E+000
+7.96000000000E+007, -3.83197545443E+000, +0.00000000000E+000
+8.00000000000E+007, -3.84702372495E+000, +0.00000000000E+000
+8.04000000000E+007, -3.91186388395E+000, +0.00000000000E+000
+8.08000000000E+007, -3.94371996587E+000, +0.00000000000E+000
+8.12000000000E+007, -3.94426593278E+000, +0.00000000000E+000
+8.16000000000E+007, -3.93680967311E+000, +0.00000000000E+000
+8.20000000000E+007, -3.95844135188E+000, +0.00000000000E+000
+8.24000000000E+007, -3.93695529149E+000, +0.00000000000E+000
+8.28000000000E+007, -3.90167051844E+000, +0.00000000000E+000
+8.32000000000E+007, -3.92171518336E+000, +0.00000000000E+000
+8.36000000000E+007, -3.85723635563E+000, +0.00000000000E+000
+8.40000000000E+007, -3.84107763190E+000, +0.00000000000E+000
+8.44000000000E+007, -3.79589803103E+000, +0.00000000000E+000
+8.48000000000E+007, -3.80121363200E+000, +0.00000000000E+000
+8.52000000000E+007, -3.77296012694E+000, +0.00000000000E+000
+8.56000000000E+007, -3.78684390588E+000, +0.00000000000E+000
+8.60000000000E+007, -3.79258943793E+000, +0.00000000000E+000
+8.64000000000E+007, -3.84253560230E+000, +0.00000000000E+000
+8.68000000000E+007, -3.95177085426E+000, +0.00000000000E+000
+8.72000000000E+007, -3.99079264577E+000, +0.00000000000E+000
+8.76000000000E+007, -4.09281846902E+000, +0.00000000000E+000
+8.80000000000E+007, -4.21435834506E+000, +0.00000000000E+000
+8.84000000000E+007, -4.41508288042E+000, +0.00000000000E+000
+8.88000000000E+007, -4.60322592299E+000, +0.00000000000E+000
+8.92000000000E+007, -4.78511862542E+000, +0.00000000000E+000
+8.96000000000E+007, -4.98376855491E+000, +0.00000000000E+000
+9.00000000000E+007, -5.21522747277E+000, +0.00000000000E+000
+9.04000000000E+007, -5.44464661690E+000, +0.00000000000E+000
+9.08000000000E+007, -5.63461711073E+000, +0.00000000000E+000
+9.12000000000E+007, -5.89057157162E+000, +0.00000000000E+000
+9.16000000000E+007, -6.04613329638E+000, +0.00000000000E+000
+9.20000000000E+007, -6.25852941279E+000, +0.00000000000E+000
+9.24000000000E+007, -6.43923185024E+000, +0.00000000000E+000
+9.28000000000E+007, -6.57208193278E+000, +0.00000000000E+000
+9.32000000000E+007, -6.68117048879E+000, +0.00000000000E+000
+9.36000000000E+007, -6.77895631577E+000, +0.00000000000E+000
+9.40000000000E+007, -6.88138892656E+000, +0.00000000000E+000
+9.44000000000E+007, -6.88350088625E+000, +0.00000000000E+000
+9.48000000000E+007, -6.95953082482E+000, +0.00000000000E+000
+9.52000000000E+007, -6.93251548864E+000, +0.00000000000E+000
+9.56000000000E+007, -6.92604599417E+000, +0.00000000000E+000
+9.60000000000E+007, -6.87375029646E+000, +0.00000000000E+000
+9.64000000000E+007, -6.81183887066E+000, +0.00000000000E+000
+9.68000000000E+007, -6.75715429797E+000, +0.00000000000E+000
+9.72000000000E+007, -6.63903986615E+000, +0.00000000000E+000
+9.76000000000E+007, -6.56151126858E+000, +0.00000000000E+000
+9.80000000000E+007, -6.39746536397E+000, +0.00000000000E+000
+9.84000000000E+007, -6.29045153328E+000, +0.00000000000E+000
+9.88000000000E+007, -6.12249850936E+000, +0.00000000000E+000
+9.92000000000E+007, -6.00649767306E+000, +0.00000000000E+000
+9.96000000000E+007, -5.88453806005E+000, +0.00000000000E+000
+1.00000000000E+008, -5.74552240614E+000, +0.00000000000E+000
+1.00400000000E+008, -5.60865457380E+000, +0.00000000000E+000
+1.00800000000E+008, -5.45376004216E+000, +0.00000000000E+000
+1.01200000000E+008, -5.32443415613E+000, +0.00000000000E+000
+1.01600000000E+008, -5.24417955566E+000, +0.00000000000E+000
+1.02000000000E+008, -5.17779174118E+000, +0.00000000000E+000
+1.02400000000E+008, -5.05524449882E+000, +0.00000000000E+000
+1.02800000000E+008, -5.05381182915E+000, +0.00000000000E+000
+1.03200000000E+008, -5.00741815242E+000, +0.00000000000E+000
+1.03600000000E+008, -5.02360516431E+000, +0.00000000000E+000
+1.04000000000E+008, -4.81333529313E+000, +0.00000000000E+000
+1.04400000000E+008, -5.06683411082E+000, +0.00000000000E+000
